Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
18, 8, 6, 20, 1000, 1, 2343.0, 80.371953043
18, 8, 6, 20, 1000, 2, 2343.0, 93.330045913
18, 8, 6, 20, 1000, 3, 2343.0, 79.910175189
18, 8, 6, 20, 1000, 4, 2343.0, 81.877380144
18, 8, 6, 20, 1000, 5, 2343.0, 93.790124963
18, 8, 6, 20, 1000, 6, 2343.0, 98.610923929
18, 8, 6, 20, 1000, 7, 2343.0, 76.152325932
18, 8, 6, 20, 1000, 8, 2343.0, 81.321501858
18, 8, 6, 20, 1000, 9, 2343.0, 77.524812727
18, 8, 6, 20, 1000, 10, 2343.0, 67.236229316
18, 8, 6, 20, 1000, 11, 2343.0, 81.403770596
18, 8, 6, 20, 1000, 12, 2343.0, 81.153484123
18, 8, 6, 20, 1000, 13, 2343.0, 93.262146746
18, 8, 6, 20, 1000, 14, 2343.0, 64.700400894
18, 8, 6, 20, 1000, 15, 2343.0, 65.598815264
18, 8, 6, 20, 1000, 16, 2343.0, 76.780656416
18, 8, 6, 20, 1000, 17, 2343.0, 85.146931152
18, 8, 6, 20, 1000, 18, 2343.0, 80.071849458
18, 8, 6, 20, 1000, 19, 2343.0, 76.710718503
18, 8, 6, 20, 1000, 20, 2343.0, 76.536175677
18, 8, 6, 20, 1000, 21, 2343.0, 67.062449933
18, 8, 6, 20, 1000, 22, 2343.0, 79.383332438
18, 8, 6, 20, 1000, 23, 2343.0, 67.32838879
18, 8, 6, 20, 1000, 24, 2343.0, 67.888016807
18, 8, 6, 20, 1000, 25, 2343.0, 88.341177037
18, 8, 6, 20, 1000, 26, 2343.0, 79.01585968
18, 8, 6, 20, 1000, 27, 2343.0, 76.83679569
18, 8, 6, 20, 1000, 28, 2343.0, 77.212276111
18, 8, 6, 20, 1000, 29, 2343.0, 96.373534585
18, 8, 6, 20, 1000, 30, 2343.0, 67.503030193
18, 8, 6, 20, 1000, 31, 2343.0, 70.929258713
18, 8, 6, 20, 1000, 32, 2343.0, 81.228571437
18, 8, 6, 20, 1000, 33, 2343.0, 67.684927713
18, 8, 6, 20, 1000, 34, 2343.0, 94.243145695
18, 8, 6, 20, 1000, 35, 2343.0, 88.641724042
18, 8, 6, 20, 1000, 36, 2343.0, 78.130081226
18, 8, 6, 20, 1000, 37, 2343.0, 78.675803978
18, 8, 6, 20, 1000, 38, 2343.0, 84.732307127
18, 8, 6, 20, 1000, 39, 2343.0, 75.948508332
18, 8, 6, 20, 1000, 40, 2343.0, 71.442520578
18, 8, 6, 20, 1000, 41, 2343.0, 68.964444463
18, 8, 6, 20, 1000, 42, 2343.0, 76.502574832
18, 8, 6, 20, 1000, 43, 2343.0, 75.986189185
18, 8, 6, 20, 1000, 44, 2343.0, 85.327890541
18, 8, 6, 20, 1000, 45, 2343.0, 64.525464872
18, 8, 6, 20, 1000, 46, 2343.0, 77.895078714
18, 8, 6, 20, 1000, 47, 2343.0, 65.399316722
18, 8, 6, 20, 1000, 48, 2343.0, 78.958284217
18, 8, 6, 20, 1000, 49, 2343.0, 68.791138515
18, 8, 6, 20, 1000, 50, 2343.0, 79.263315518
