Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
18, 25, 12, 20, 1000, 1, 474.0, 258.173411672
18, 25, 12, 20, 1000, 2, 457.5, 251.357635219
18, 25, 12, 20, 1000, 3, 448.5, 257.440858124
18, 25, 12, 20, 1000, 4, 439.5, 255.689494839
18, 25, 12, 20, 1000, 5, 456.0, 250.40922735
18, 25, 12, 20, 1000, 6, 448.5, 235.365910764
18, 25, 12, 20, 1000, 7, 457.5, 249.246256119
18, 25, 12, 20, 1000, 8, 439.5, 261.300964174
18, 25, 12, 20, 1000, 9, 457.5, 272.849677279
18, 25, 12, 20, 1000, 10, 509.25, 271.692995693
18, 25, 12, 20, 1000, 11, 657.0, 266.555277105
18, 25, 12, 20, 1000, 12, 457.5, 233.392117178
18, 25, 12, 20, 1000, 13, 457.5, 239.76492236
18, 25, 12, 20, 1000, 14, 509.25, 247.511056896
18, 25, 12, 20, 1000, 15, 509.25, 268.874644106
18, 25, 12, 20, 1000, 16, 509.25, 255.483140196
18, 25, 12, 20, 1000, 17, 484.5, 250.173110655
18, 25, 12, 20, 1000, 18, 522.75, 254.665439772
18, 25, 12, 20, 1000, 19, 493.5, 279.767413514
18, 25, 12, 20, 1000, 20, 457.5, 234.336985122
18, 25, 12, 20, 1000, 21, 439.5, 238.424745453
18, 25, 12, 20, 1000, 22, 482.25, 221.712449582
18, 25, 12, 20, 1000, 23, 486.75, 248.37451267
18, 25, 12, 20, 1000, 24, 439.5, 261.222588007
18, 25, 12, 20, 1000, 25, 448.5, 241.954274999
18, 25, 12, 20, 1000, 26, 759.75, 236.288698281
18, 25, 12, 20, 1000, 27, 501.75, 256.250712276
18, 25, 12, 20, 1000, 28, 494.25, 253.22976025
18, 25, 12, 20, 1000, 29, 569.25, 250.674186809
18, 25, 12, 20, 1000, 30, 473.25, 263.497550762
18, 25, 12, 20, 1000, 31, 439.5, 233.86896201
18, 25, 12, 20, 1000, 32, 495.75, 276.401809237
18, 25, 12, 20, 1000, 33, 448.5, 271.263962825
18, 25, 12, 20, 1000, 34, 439.5, 271.924439836
18, 25, 12, 20, 1000, 35, 501.0, 280.81987723
18, 25, 12, 20, 1000, 36, 808.5, 248.63914761
18, 25, 12, 20, 1000, 37, 464.25, 252.5498003
18, 25, 12, 20, 1000, 38, 509.25, 257.681513237
18, 25, 12, 20, 1000, 39, 457.5, 265.130116742
18, 25, 12, 20, 1000, 40, 472.5, 273.280912365
18, 25, 12, 20, 1000, 41, 474.0, 247.099045253
18, 25, 12, 20, 1000, 42, 457.5, 243.878087618
18, 25, 12, 20, 1000, 43, 439.5, 302.358741009
18, 25, 12, 20, 1000, 44, 472.5, 257.421501016
18, 25, 12, 20, 1000, 45, 448.5, 254.667208185
18, 25, 12, 20, 1000, 46, 448.5, 250.368099183
18, 25, 12, 20, 1000, 47, 535.5, 233.0013596
18, 25, 12, 20, 1000, 48, 448.5, 253.71140649
18, 25, 12, 20, 1000, 49, 439.5, 266.617052857
18, 25, 12, 20, 1000, 50, 448.5, 222.378247659
