Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
15, 12, 3, 20, 1000, 1, 4646.25, 36.244889347
15, 12, 3, 20, 1000, 2, 4465.5, 40.217092339
15, 12, 3, 20, 1000, 3, 9509.25, 38.000009939
15, 12, 3, 20, 1000, 4, 4591.5, 40.017164292
15, 12, 3, 20, 1000, 5, 7740.0, 42.255828802
15, 12, 3, 20, 1000, 6, 8454.75, 42.449795553
15, 12, 3, 20, 1000, 7, 6783.75, 42.746725407
15, 12, 3, 20, 1000, 8, 7688.25, 40.030775158
15, 12, 3, 20, 1000, 9, 4981.5, 41.615725398
15, 12, 3, 20, 1000, 10, 7836.0, 38.384720477
15, 12, 3, 20, 1000, 11, 8463.75, 38.085349954
15, 12, 3, 20, 1000, 12, 7986.75, 41.915321683
15, 12, 3, 20, 1000, 13, 7868.25, 39.220496819
15, 12, 3, 20, 1000, 14, 5823.75, 34.686960611
15, 12, 3, 20, 1000, 15, 8409.75, 39.074158603
15, 12, 3, 20, 1000, 16, 6306.0, 40.446313854
15, 12, 3, 20, 1000, 17, 4627.5, 34.189527263
15, 12, 3, 20, 1000, 18, 7999.5, 37.629679965
15, 12, 3, 20, 1000, 19, 5167.5, 36.606869112
15, 12, 3, 20, 1000, 20, 7554.75, 36.603397542
15, 12, 3, 20, 1000, 21, 7944.0, 44.736564733
15, 12, 3, 20, 1000, 22, 11400.0, 43.341314507
15, 12, 3, 20, 1000, 23, 5506.5, 39.756250399
15, 12, 3, 20, 1000, 24, 7875.0, 40.978545366
15, 12, 3, 20, 1000, 25, 5779.5, 39.97486216
15, 12, 3, 20, 1000, 26, 4465.5, 35.988908627
15, 12, 3, 20, 1000, 27, 8440.5, 41.722234663
15, 12, 3, 20, 1000, 28, 8790.0, 36.236678682
15, 12, 3, 20, 1000, 29, 7400.25, 39.361228183
15, 12, 3, 20, 1000, 30, 4981.5, 40.381524883
15, 12, 3, 20, 1000, 31, 7629.0, 44.17964804
15, 12, 3, 20, 1000, 32, 5453.25, 39.255998064
15, 12, 3, 20, 1000, 33, 9043.5, 39.48739801
15, 12, 3, 20, 1000, 34, 5538.0, 41.752212974
15, 12, 3, 20, 1000, 35, 4591.5, 42.179773206
15, 12, 3, 20, 1000, 36, 4678.5, 41.332581203
15, 12, 3, 20, 1000, 37, 4981.5, 43.010840113
15, 12, 3, 20, 1000, 38, 5227.5, 35.493289362
15, 12, 3, 20, 1000, 39, 8494.5, 40.555943712
15, 12, 3, 20, 1000, 40, 4618.5, 39.141415574
15, 12, 3, 20, 1000, 41, 7916.25, 44.178516405
15, 12, 3, 20, 1000, 42, 7394.25, 39.643022603
15, 12, 3, 20, 1000, 43, 7988.25, 44.158722414
15, 12, 3, 20, 1000, 44, 7370.25, 41.062699161
15, 12, 3, 20, 1000, 45, 4570.5, 38.82083322
15, 12, 3, 20, 1000, 46, 7321.5, 40.236679359
15, 12, 3, 20, 1000, 47, 7424.25, 40.74943715
15, 12, 3, 20, 1000, 48, 4571.25, 40.104341924
15, 12, 3, 20, 1000, 49, 9124.5, 38.67295841
15, 12, 3, 20, 1000, 50, 8201.25, 46.166911096
