Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
65, 50, 18, 20, 1000, 1, 0.0, 3283.772650555
65, 50, 18, 20, 1000, 2, 0.0, 3306.643401332
65, 50, 18, 20, 1000, 3, 14.25, 3105.18148253
65, 50, 18, 20, 1000, 4, 0.0, 3115.104693862
65, 50, 18, 20, 1000, 5, 14.25, 3263.419821225
65, 50, 18, 20, 1000, 6, 0.0, 3289.212162675
65, 50, 18, 20, 1000, 7, 0.0, 3151.714843283
65, 50, 18, 20, 1000, 8, 0.0, 3153.587588254
65, 50, 18, 20, 1000, 9, 0.0, 3224.027095655
65, 50, 18, 20, 1000, 10, 0.0, 2844.933924333
65, 50, 18, 20, 1000, 11, 0.0, 3147.664489084
65, 50, 18, 20, 1000, 12, 0.0, 3160.213139466
65, 50, 18, 20, 1000, 13, 0.0, 3061.160421841
65, 50, 18, 20, 1000, 14, 0.0, 2645.227309981
65, 50, 18, 20, 1000, 15, 0.0, 3447.178508944
65, 50, 18, 20, 1000, 16, 0.0, 3317.194602376
65, 50, 18, 20, 1000, 17, 0.0, 3167.09530871
65, 50, 18, 20, 1000, 18, 0.0, 3207.006743689
65, 50, 18, 20, 1000, 19, 0.0, 3265.208785086
65, 50, 18, 20, 1000, 20, 9.75, 3099.942762745
65, 50, 18, 20, 1000, 21, 22.5, 3399.349271276
65, 50, 18, 20, 1000, 22, 30.75, 3316.656214628
65, 50, 18, 20, 1000, 23, 62.25, 2887.744473796
65, 50, 18, 20, 1000, 24, 0.0, 3209.717053445
65, 50, 18, 20, 1000, 25, 0.0, 3289.411195033
65, 50, 18, 20, 1000, 26, 35.25, 3231.630058682
65, 50, 18, 20, 1000, 27, 0.75, 3303.146694664
