Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
15, 12, 5, 20, 1000, 1, 4207.5, 63.461211755
15, 12, 5, 20, 1000, 2, 4267.5, 64.881316498
15, 12, 5, 20, 1000, 3, 4861.5, 63.798124212
15, 12, 5, 20, 1000, 4, 4984.5, 65.113301766
15, 12, 5, 20, 1000, 5, 6324.0, 59.771538663
15, 12, 5, 20, 1000, 6, 6324.0, 60.704080424
15, 12, 5, 20, 1000, 7, 6243.0, 60.482376596
15, 12, 5, 20, 1000, 8, 4207.5, 64.13876994
15, 12, 5, 20, 1000, 9, 4207.5, 60.517145219
15, 12, 5, 20, 1000, 10, 6324.0, 60.010443701
15, 12, 5, 20, 1000, 11, 5742.75, 61.402351477
15, 12, 5, 20, 1000, 12, 5820.75, 61.785106385
15, 12, 5, 20, 1000, 13, 6324.0, 60.279159462
15, 12, 5, 20, 1000, 14, 6324.0, 57.053771286
15, 12, 5, 20, 1000, 15, 6324.0, 59.59021098
15, 12, 5, 20, 1000, 16, 6324.0, 60.642952776
15, 12, 5, 20, 1000, 17, 6324.0, 57.593668421
15, 12, 5, 20, 1000, 18, 5043.0, 58.282466251
15, 12, 5, 20, 1000, 19, 4227.0, 59.485796729
15, 12, 5, 20, 1000, 20, 6324.0, 61.201062452
15, 12, 5, 20, 1000, 21, 4207.5, 62.33857882
15, 12, 5, 20, 1000, 22, 3529.5, 62.949370645
15, 12, 5, 20, 1000, 23, 6324.0, 59.952096174
15, 12, 5, 20, 1000, 24, 6324.0, 59.648464321
15, 12, 5, 20, 1000, 25, 4820.25, 55.664416753
15, 12, 5, 20, 1000, 26, 6243.0, 60.797764083
15, 12, 5, 20, 1000, 27, 6324.0, 60.122430636
15, 12, 5, 20, 1000, 28, 4207.5, 59.445081081
15, 12, 5, 20, 1000, 29, 4207.5, 64.001558296
15, 12, 5, 20, 1000, 30, 4207.5, 61.53371262
15, 12, 5, 20, 1000, 31, 4207.5, 62.599240148
15, 12, 5, 20, 1000, 32, 6324.0, 58.787470455
15, 12, 5, 20, 1000, 33, 4223.25, 60.615477523
15, 12, 5, 20, 1000, 34, 6324.0, 65.096025467
15, 12, 5, 20, 1000, 35, 7520.25, 57.111539634
15, 12, 5, 20, 1000, 36, 4132.5, 64.285888033
15, 12, 5, 20, 1000, 37, 4207.5, 60.069631268
15, 12, 5, 20, 1000, 38, 6324.0, 59.769125506
15, 12, 5, 20, 1000, 39, 6324.0, 61.334665206
15, 12, 5, 20, 1000, 40, 4207.5, 62.20028147
15, 12, 5, 20, 1000, 41, 4207.5, 62.501076558
15, 12, 5, 20, 1000, 42, 6324.0, 58.620783971
15, 12, 5, 20, 1000, 43, 6324.0, 60.547288714
15, 12, 5, 20, 1000, 44, 6243.0, 60.135146383
15, 12, 5, 20, 1000, 45, 6324.0, 60.34807827
15, 12, 5, 20, 1000, 46, 5742.75, 60.782202335
15, 12, 5, 20, 1000, 47, 6243.0, 60.068913944
15, 12, 5, 20, 1000, 48, 4207.5, 61.131596123
15, 12, 5, 20, 1000, 49, 4207.5, 61.464072144
15, 12, 5, 20, 1000, 50, 6324.0, 62.179025124
