Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
40, 20, 9, 20, 1000, 1, 453.0, 606.28652821
40, 20, 9, 20, 1000, 2, 282.75, 660.043158544
40, 20, 9, 20, 1000, 3, 0.0, 628.144097284
40, 20, 9, 20, 1000, 4, 262.5, 566.710758671
40, 20, 9, 20, 1000, 5, 46.5, 612.838246969
40, 20, 9, 20, 1000, 6, 328.5, 685.538673559
40, 20, 9, 20, 1000, 7, 105.75, 647.675296205
40, 20, 9, 20, 1000, 8, 23.25, 655.896556968
40, 20, 9, 20, 1000, 9, 3.0, 631.169120854
40, 20, 9, 20, 1000, 10, 96.75, 606.023096788
40, 20, 9, 20, 1000, 11, 90.0, 666.713546391
40, 20, 9, 20, 1000, 12, 90.0, 635.781616608
40, 20, 9, 20, 1000, 13, 314.25, 595.238841645
40, 20, 9, 20, 1000, 14, 414.0, 603.665471531
40, 20, 9, 20, 1000, 15, 0.0, 632.987644691
40, 20, 9, 20, 1000, 16, 141.75, 569.045891268
40, 20, 9, 20, 1000, 17, 0.0, 630.252098744
40, 20, 9, 20, 1000, 18, 342.0, 577.801850727
40, 20, 9, 20, 1000, 19, 46.5, 618.845471054
40, 20, 9, 20, 1000, 20, 117.0, 584.921718417
40, 20, 9, 20, 1000, 21, 60.75, 616.765566025
40, 20, 9, 20, 1000, 22, 24.75, 586.833267425
40, 20, 9, 20, 1000, 23, 380.25, 609.403576692
40, 20, 9, 20, 1000, 24, 144.0, 526.034437774
40, 20, 9, 20, 1000, 25, 31.5, 600.421177412
40, 20, 9, 20, 1000, 26, 533.25, 607.59615999
40, 20, 9, 20, 1000, 27, 246.0, 595.014348568
40, 20, 9, 20, 1000, 28, 25.5, 562.52945354
40, 20, 9, 20, 1000, 29, 83.25, 604.615314383
40, 20, 9, 20, 1000, 30, 297.0, 612.401057531
40, 20, 9, 20, 1000, 31, 70.5, 593.932793572
40, 20, 9, 20, 1000, 32, 220.5, 558.697355508
40, 20, 9, 20, 1000, 33, 4.5, 620.854305729
40, 20, 9, 20, 1000, 34, 87.75, 588.471678773
40, 20, 9, 20, 1000, 35, 249.0, 635.522714991
40, 20, 9, 20, 1000, 36, 143.25, 608.556926847
40, 20, 9, 20, 1000, 37, 367.5, 601.167895899
40, 20, 9, 20, 1000, 38, 150.75, 541.375332969
40, 20, 9, 20, 1000, 39, 144.0, 564.430116879
40, 20, 9, 20, 1000, 40, 175.5, 596.513355981
40, 20, 9, 20, 1000, 41, 252.0, 619.494417725
40, 20, 9, 20, 1000, 42, 83.25, 624.043481372
40, 20, 9, 20, 1000, 43, 102.75, 573.57835316
40, 20, 9, 20, 1000, 44, 108.75, 614.053877156
40, 20, 9, 20, 1000, 45, 511.5, 604.786119481
40, 20, 9, 20, 1000, 46, 190.5, 634.377863941
40, 20, 9, 20, 1000, 47, 49.5, 618.213057155
40, 20, 9, 20, 1000, 48, 189.0, 629.53513478
40, 20, 9, 20, 1000, 49, 364.5, 597.565882023
40, 20, 9, 20, 1000, 50, 180.0, 622.549613082
