Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
40, 20, 12, 20, 1000, 1, 0.0, 701.506747627
40, 20, 12, 20, 1000, 2, 23.25, 805.61806732
40, 20, 12, 20, 1000, 3, 1.5, 805.168679505
40, 20, 12, 20, 1000, 4, 0.0, 975.300325375
40, 20, 12, 20, 1000, 5, 0.0, 862.46450563
40, 20, 12, 20, 1000, 6, 0.0, 944.388557515
40, 20, 12, 20, 1000, 7, 0.0, 748.654048213
40, 20, 12, 20, 1000, 8, 15.0, 753.73421092
40, 20, 12, 20, 1000, 9, 39.0, 795.326941842
40, 20, 12, 20, 1000, 10, 3.75, 842.688863419
40, 20, 12, 20, 1000, 11, 13.5, 904.393386823
40, 20, 12, 20, 1000, 12, 6.0, 734.980243047
40, 20, 12, 20, 1000, 13, 13.5, 889.395245443
40, 20, 12, 20, 1000, 14, 0.0, 918.487085723
40, 20, 12, 20, 1000, 15, 13.5, 838.105522081
40, 20, 12, 20, 1000, 16, 32.25, 784.519726308
40, 20, 12, 20, 1000, 17, 0.0, 738.726476961
40, 20, 12, 20, 1000, 18, 0.0, 897.531495963
40, 20, 12, 20, 1000, 19, 10.5, 782.563727235
40, 20, 12, 20, 1000, 20, 22.5, 766.574337377
40, 20, 12, 20, 1000, 21, 13.5, 880.276104643
40, 20, 12, 20, 1000, 22, 0.0, 863.543603214
40, 20, 12, 20, 1000, 23, 0.0, 842.956867613
40, 20, 12, 20, 1000, 24, 0.0, 857.654494479
40, 20, 12, 20, 1000, 25, 13.5, 878.443859157
40, 20, 12, 20, 1000, 26, 13.5, 919.275504536
40, 20, 12, 20, 1000, 27, 0.0, 812.744612765
40, 20, 12, 20, 1000, 28, 61.5, 868.617394901
40, 20, 12, 20, 1000, 29, 13.5, 873.153522335
40, 20, 12, 20, 1000, 30, 1.5, 793.219363956
40, 20, 12, 20, 1000, 31, 0.0, 778.968983807
40, 20, 12, 20, 1000, 32, 0.0, 783.357814892
40, 20, 12, 20, 1000, 33, 13.5, 873.746386894
40, 20, 12, 20, 1000, 34, 0.0, 885.236771189
40, 20, 12, 20, 1000, 35, 13.5, 855.961110733
40, 20, 12, 20, 1000, 36, 0.0, 812.465179591
40, 20, 12, 20, 1000, 37, 0.0, 921.873344521
40, 20, 12, 20, 1000, 38, 0.0, 852.577416053
40, 20, 12, 20, 1000, 39, 0.0, 809.945068117
40, 20, 12, 20, 1000, 40, 0.0, 766.454016473
40, 20, 12, 20, 1000, 41, 0.0, 850.029419234
40, 20, 12, 20, 1000, 42, 0.0, 796.672578913
40, 20, 12, 20, 1000, 43, 0.0, 862.348139721
40, 20, 12, 20, 1000, 44, 13.5, 737.145435112
40, 20, 12, 20, 1000, 45, 0.0, 644.300603675
40, 20, 12, 20, 1000, 46, 0.0, 800.490689833
40, 20, 12, 20, 1000, 47, 0.0, 766.563645804
40, 20, 12, 20, 1000, 48, 13.5, 767.232550158
40, 20, 12, 20, 1000, 49, 0.0, 756.968156832
40, 20, 12, 20, 1000, 50, 0.0, 728.810566514
