Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
30, 12, 6, 20, 1000, 1, 1485.0, 197.857538673
30, 12, 6, 20, 1000, 2, 702.75, 216.366237754
30, 12, 6, 20, 1000, 3, 2241.0, 206.147176089
30, 12, 6, 20, 1000, 4, 2022.0, 209.477561393
30, 12, 6, 20, 1000, 5, 1799.25, 200.969880898
30, 12, 6, 20, 1000, 6, 2074.5, 207.551056481
30, 12, 6, 20, 1000, 7, 1559.25, 199.033500753
30, 12, 6, 20, 1000, 8, 1155.75, 205.879516292
30, 12, 6, 20, 1000, 9, 777.75, 206.024582441
30, 12, 6, 20, 1000, 10, 1576.5, 195.293182516
30, 12, 6, 20, 1000, 11, 1949.25, 205.349665916
30, 12, 6, 20, 1000, 12, 450.75, 191.573788227
30, 12, 6, 20, 1000, 13, 376.5, 197.19490896
30, 12, 6, 20, 1000, 14, 1831.5, 200.911095137
30, 12, 6, 20, 1000, 15, 1633.5, 209.942906571
30, 12, 6, 20, 1000, 16, 1777.5, 200.563546984
30, 12, 6, 20, 1000, 17, 2373.0, 194.421845308
30, 12, 6, 20, 1000, 18, 876.0, 189.572193797
30, 12, 6, 20, 1000, 19, 827.25, 198.904567654
30, 12, 6, 20, 1000, 20, 1015.5, 198.457457888
30, 12, 6, 20, 1000, 21, 1147.5, 208.12979812
30, 12, 6, 20, 1000, 22, 1684.5, 196.152589025
30, 12, 6, 20, 1000, 23, 1089.0, 194.811280308
30, 12, 6, 20, 1000, 24, 1217.25, 200.857151981
30, 12, 6, 20, 1000, 25, 1967.25, 203.440454999
30, 12, 6, 20, 1000, 26, 1365.75, 203.188623194
30, 12, 6, 20, 1000, 27, 1956.0, 217.269601239
30, 12, 6, 20, 1000, 28, 826.5, 196.488238087
30, 12, 6, 20, 1000, 29, 2358.75, 198.66887031
30, 12, 6, 20, 1000, 30, 1485.0, 194.068642888
30, 12, 6, 20, 1000, 31, 1310.25, 196.787549655
30, 12, 6, 20, 1000, 32, 2129.25, 208.960271322
30, 12, 6, 20, 1000, 33, 1561.5, 202.645099787
30, 12, 6, 20, 1000, 34, 1383.0, 201.873894512
30, 12, 6, 20, 1000, 35, 1664.25, 201.30979275
30, 12, 6, 20, 1000, 36, 1674.0, 207.201309929
30, 12, 6, 20, 1000, 37, 1730.25, 196.26154152
30, 12, 6, 20, 1000, 38, 811.5, 189.973260664
30, 12, 6, 20, 1000, 39, 828.0, 212.656212437
30, 12, 6, 20, 1000, 40, 759.75, 190.59955169
30, 12, 6, 20, 1000, 41, 1410.0, 199.085840747
30, 12, 6, 20, 1000, 42, 1624.5, 207.824271075
30, 12, 6, 20, 1000, 43, 1288.5, 194.57419556
30, 12, 6, 20, 1000, 44, 1407.75, 204.300227299
30, 12, 6, 20, 1000, 45, 1758.75, 218.202720829
30, 12, 6, 20, 1000, 46, 1586.25, 204.690766829
30, 12, 6, 20, 1000, 47, 1431.0, 200.079312011
30, 12, 6, 20, 1000, 48, 882.0, 197.704067331
30, 12, 6, 20, 1000, 49, 2633.25, 202.933753233
30, 12, 6, 20, 1000, 50, 1509.0, 203.792173798
