Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
10, 18, 5, 20, 1000, 1, 1786.5, 57.462635988
10, 18, 5, 20, 1000, 2, 1665.0, 55.76279914
10, 18, 5, 20, 1000, 3, 1795.5, 59.194917857
10, 18, 5, 20, 1000, 4, 1807.5, 58.537027144
10, 18, 5, 20, 1000, 5, 1699.5, 50.831185435
10, 18, 5, 20, 1000, 6, 1717.5, 60.183886917
10, 18, 5, 20, 1000, 7, 1687.5, 59.236941567
10, 18, 5, 20, 1000, 8, 1837.5, 56.985045872
10, 18, 5, 20, 1000, 9, 1735.5, 57.546871882
10, 18, 5, 20, 1000, 10, 1699.5, 57.842232424
10, 18, 5, 20, 1000, 11, 1699.5, 56.666209168
10, 18, 5, 20, 1000, 12, 1701.0, 62.009580217
10, 18, 5, 20, 1000, 13, 1813.5, 62.46001475
10, 18, 5, 20, 1000, 14, 1648.5, 47.781582861
10, 18, 5, 20, 1000, 15, 1717.5, 46.885614556
10, 18, 5, 20, 1000, 16, 1648.5, 55.715663245
10, 18, 5, 20, 1000, 17, 1648.5, 54.986855101
10, 18, 5, 20, 1000, 18, 1687.5, 47.564814642
10, 18, 5, 20, 1000, 19, 1717.5, 52.988064736
10, 18, 5, 20, 1000, 20, 1771.5, 53.312962533
10, 18, 5, 20, 1000, 21, 1648.5, 54.25922495
10, 18, 5, 20, 1000, 22, 1804.5, 48.768766871
10, 18, 5, 20, 1000, 23, 1665.0, 57.074322955
10, 18, 5, 20, 1000, 24, 1648.5, 54.835886409
10, 18, 5, 20, 1000, 25, 1717.5, 58.456924501
10, 18, 5, 20, 1000, 26, 1701.0, 53.466278538
10, 18, 5, 20, 1000, 27, 1648.5, 49.714026749
10, 18, 5, 20, 1000, 28, 1753.5, 50.185612711
10, 18, 5, 20, 1000, 29, 1738.5, 43.611810942
10, 18, 5, 20, 1000, 30, 1717.5, 57.171409261
10, 18, 5, 20, 1000, 31, 1786.5, 52.448869598
10, 18, 5, 20, 1000, 32, 1665.0, 49.823875739
10, 18, 5, 20, 1000, 33, 1786.5, 53.566674601
10, 18, 5, 20, 1000, 34, 1698.0, 51.264373318
10, 18, 5, 20, 1000, 35, 1665.0, 56.499473217
10, 18, 5, 20, 1000, 36, 1786.5, 53.537670216
10, 18, 5, 20, 1000, 37, 1666.5, 53.277004267
10, 18, 5, 20, 1000, 38, 1786.5, 55.156693996
10, 18, 5, 20, 1000, 39, 1786.5, 51.086937181
10, 18, 5, 20, 1000, 40, 1699.5, 53.206022375
10, 18, 5, 20, 1000, 41, 1753.5, 47.003085756
10, 18, 5, 20, 1000, 42, 1699.5, 51.756284362
10, 18, 5, 20, 1000, 43, 1666.5, 50.389330469
10, 18, 5, 20, 1000, 44, 1665.0, 56.588758608
10, 18, 5, 20, 1000, 45, 1717.5, 52.218116841
10, 18, 5, 20, 1000, 46, 1753.5, 55.590973045
10, 18, 5, 20, 1000, 47, 1665.0, 57.937541889
10, 18, 5, 20, 1000, 48, 1795.5, 57.394695107
10, 18, 5, 20, 1000, 49, 1786.5, 53.886000262
10, 18, 5, 20, 1000, 50, 1852.5, 44.696991069
