Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
30, 12, 9, 20, 1000, 1, 411.75, 340.653391596
30, 12, 9, 20, 1000, 2, 321.75, 339.336894383
30, 12, 9, 20, 1000, 3, 319.5, 333.691728571
30, 12, 9, 20, 1000, 4, 279.75, 366.808019666
30, 12, 9, 20, 1000, 5, 181.5, 353.003108507
30, 12, 9, 20, 1000, 6, 323.25, 340.723033767
30, 12, 9, 20, 1000, 7, 279.75, 326.775578748
30, 12, 9, 20, 1000, 8, 181.5, 336.10239402
30, 12, 9, 20, 1000, 9, 279.75, 345.454900791
30, 12, 9, 20, 1000, 10, 333.0, 315.109630491
30, 12, 9, 20, 1000, 11, 279.75, 306.625614344
30, 12, 9, 20, 1000, 12, 256.5, 272.801205783
30, 12, 9, 20, 1000, 13, 224.25, 290.734582748
30, 12, 9, 20, 1000, 14, 193.5, 314.221866708
30, 12, 9, 20, 1000, 15, 345.0, 315.96645429
30, 12, 9, 20, 1000, 16, 279.75, 334.41202172
30, 12, 9, 20, 1000, 17, 210.0, 322.876686672
30, 12, 9, 20, 1000, 18, 279.75, 333.905923254
30, 12, 9, 20, 1000, 19, 193.5, 292.495995648
30, 12, 9, 20, 1000, 20, 321.75, 301.999292347
30, 12, 9, 20, 1000, 21, 309.0, 314.235452757
30, 12, 9, 20, 1000, 22, 181.5, 304.293044785
30, 12, 9, 20, 1000, 23, 330.0, 327.455823678
30, 12, 9, 20, 1000, 24, 192.0, 314.414455414
30, 12, 9, 20, 1000, 25, 294.75, 325.560141429
30, 12, 9, 20, 1000, 26, 279.75, 337.058192356
30, 12, 9, 20, 1000, 27, 279.75, 316.3952142
30, 12, 9, 20, 1000, 28, 279.75, 336.67967169
30, 12, 9, 20, 1000, 29, 294.75, 320.178068046
30, 12, 9, 20, 1000, 30, 204.75, 327.075760514
30, 12, 9, 20, 1000, 31, 279.75, 341.009352009
30, 12, 9, 20, 1000, 32, 279.75, 301.283702548
30, 12, 9, 20, 1000, 33, 321.75, 309.453224892
30, 12, 9, 20, 1000, 34, 279.75, 315.524183771
30, 12, 9, 20, 1000, 35, 193.5, 337.792020627
30, 12, 9, 20, 1000, 36, 279.75, 332.230268725
30, 12, 9, 20, 1000, 37, 188.25, 283.584988802
30, 12, 9, 20, 1000, 38, 351.0, 326.824884755
30, 12, 9, 20, 1000, 39, 279.75, 316.012998032
30, 12, 9, 20, 1000, 40, 259.5, 303.533490309
30, 12, 9, 20, 1000, 41, 252.75, 264.40914293
30, 12, 9, 20, 1000, 42, 180.0, 312.379543279
30, 12, 9, 20, 1000, 43, 181.5, 302.422557384
30, 12, 9, 20, 1000, 44, 188.25, 294.659830385
30, 12, 9, 20, 1000, 45, 181.5, 298.153771183
30, 12, 9, 20, 1000, 46, 321.75, 304.013156289
30, 12, 9, 20, 1000, 47, 181.5, 310.372528576
30, 12, 9, 20, 1000, 48, 279.75, 321.373847253
30, 12, 9, 20, 1000, 49, 279.75, 330.383601462
30, 12, 9, 20, 1000, 50, 279.75, 320.950423558
