Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
5, 4, 4, 20, 1000, 1, 1794.0, 18.820180129
5, 4, 4, 20, 1000, 2, 1794.0, 16.174680163
5, 4, 4, 20, 1000, 3, 1794.0, 17.514004216
5, 4, 4, 20, 1000, 4, 2142.0, 14.141617658
5, 4, 4, 20, 1000, 5, 1794.0, 13.680157519
5, 4, 4, 20, 1000, 6, 1794.0, 14.607586842
5, 4, 4, 20, 1000, 7, 1794.0, 15.08881795
5, 4, 4, 20, 1000, 8, 1794.0, 14.356949398
5, 4, 4, 20, 1000, 9, 2421.0, 17.439502
5, 4, 4, 20, 1000, 10, 2181.0, 14.449167626
5, 4, 4, 20, 1000, 11, 1794.0, 13.311086302
5, 4, 4, 20, 1000, 12, 1794.0, 14.542120597
5, 4, 4, 20, 1000, 13, 1794.0, 14.94240534
5, 4, 4, 20, 1000, 14, 1794.0, 17.768188315
5, 4, 4, 20, 1000, 15, 1794.0, 13.186597736
5, 4, 4, 20, 1000, 16, 1794.0, 14.752877603
5, 4, 4, 20, 1000, 17, 1794.0, 17.440872049
5, 4, 4, 20, 1000, 18, 1794.0, 13.341698499
5, 4, 4, 20, 1000, 19, 1794.0, 15.188589214
5, 4, 4, 20, 1000, 20, 2142.0, 14.93042626
5, 4, 4, 20, 1000, 21, 1794.0, 13.231758461
5, 4, 4, 20, 1000, 22, 1794.0, 14.36567447
5, 4, 4, 20, 1000, 23, 1935.0, 19.51687028
5, 4, 4, 20, 1000, 24, 1794.0, 14.451568381
5, 4, 4, 20, 1000, 25, 2142.0, 14.26799723
5, 4, 4, 20, 1000, 26, 1794.0, 13.143583592
5, 4, 4, 20, 1000, 27, 1794.0, 13.447502082
5, 4, 4, 20, 1000, 28, 1794.0, 15.16714488
5, 4, 4, 20, 1000, 29, 1794.0, 18.221442968
5, 4, 4, 20, 1000, 30, 1794.0, 14.110005523
5, 4, 4, 20, 1000, 31, 1794.0, 13.933389683
5, 4, 4, 20, 1000, 32, 1794.0, 12.893835831
5, 4, 4, 20, 1000, 33, 2142.0, 13.915713699
5, 4, 4, 20, 1000, 34, 1794.0, 18.035952214
5, 4, 4, 20, 1000, 35, 1794.0, 12.80336974
5, 4, 4, 20, 1000, 36, 1794.0, 13.925772066
5, 4, 4, 20, 1000, 37, 1794.0, 14.16556171
5, 4, 4, 20, 1000, 38, 1794.0, 13.219257748
5, 4, 4, 20, 1000, 39, 1794.0, 12.927562759
5, 4, 4, 20, 1000, 40, 2142.0, 13.889895736
5, 4, 4, 20, 1000, 41, 1794.0, 14.009965053
5, 4, 4, 20, 1000, 42, 1794.0, 12.854968947
5, 4, 4, 20, 1000, 43, 1926.0, 15.417054243
5, 4, 4, 20, 1000, 44, 1794.0, 13.995607955
5, 4, 4, 20, 1000, 45, 1794.0, 14.127761663
5, 4, 4, 20, 1000, 46, 1794.0, 17.276314282
5, 4, 4, 20, 1000, 47, 1794.0, 13.338958574
5, 4, 4, 20, 1000, 48, 1794.0, 12.738836776
5, 4, 4, 20, 1000, 49, 1794.0, 13.153996428
5, 4, 4, 20, 1000, 50, 2142.0, 13.891545458
