Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
25, 18, 12, 20, 1000, 1, 3499.5, 609.665459919
25, 18, 12, 20, 1000, 2, 3907.5, 583.810655385
25, 18, 12, 20, 1000, 3, 3272.25, 576.93913819
25, 18, 12, 20, 1000, 4, 3507.75, 570.944497894
25, 18, 12, 20, 1000, 5, 2778.75, 560.407373846
25, 18, 12, 20, 1000, 6, 3528.0, 596.012782697
25, 18, 12, 20, 1000, 7, 3699.0, 545.01744767
25, 18, 12, 20, 1000, 8, 3991.5, 536.578680596
25, 18, 12, 20, 1000, 9, 3483.75, 519.450083494
25, 18, 12, 20, 1000, 10, 3720.75, 652.438061399
25, 18, 12, 20, 1000, 11, 3517.5, 579.907778527
25, 18, 12, 20, 1000, 12, 3720.75, 601.243399021
25, 18, 12, 20, 1000, 13, 2775.0, 496.542084857
25, 18, 12, 20, 1000, 14, 3150.75, 526.900323375
25, 18, 12, 20, 1000, 15, 3653.25, 548.310385201
25, 18, 12, 20, 1000, 16, 3508.5, 587.813988545
25, 18, 12, 20, 1000, 17, 3483.75, 509.619285692
25, 18, 12, 20, 1000, 18, 3531.0, 577.977478073
25, 18, 12, 20, 1000, 19, 2598.75, 531.147311803
25, 18, 12, 20, 1000, 20, 3594.0, 590.006648841
25, 18, 12, 20, 1000, 21, 3517.5, 557.049086106
25, 18, 12, 20, 1000, 22, 3150.75, 512.703143235
25, 18, 12, 20, 1000, 23, 3779.25, 604.210407724
25, 18, 12, 20, 1000, 24, 3540.0, 600.211505152
25, 18, 12, 20, 1000, 25, 3723.75, 539.958794053
25, 18, 12, 20, 1000, 26, 3172.5, 472.697489643
25, 18, 12, 20, 1000, 27, 2598.75, 519.104745093
25, 18, 12, 20, 1000, 28, 2628.75, 518.972500074
25, 18, 12, 20, 1000, 29, 3585.0, 561.44796171
25, 18, 12, 20, 1000, 30, 3531.0, 585.518499723
25, 18, 12, 20, 1000, 31, 2589.75, 529.173319062
