Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
20, 10, 6, 20, 1000, 1, 5079.0, 189.234304763
20, 10, 6, 20, 1000, 2, 4624.5, 194.094025483
20, 10, 6, 20, 1000, 3, 4615.5, 176.283632798
20, 10, 6, 20, 1000, 4, 4372.5, 174.176471991
20, 10, 6, 20, 1000, 5, 3931.5, 188.216011
20, 10, 6, 20, 1000, 6, 4987.5, 174.239479537
20, 10, 6, 20, 1000, 7, 4615.5, 204.031141377
20, 10, 6, 20, 1000, 8, 3967.5, 213.160540499
20, 10, 6, 20, 1000, 9, 4615.5, 199.220187123
20, 10, 6, 20, 1000, 10, 5064.0, 186.811805984
20, 10, 6, 20, 1000, 11, 5166.75, 182.985284623
20, 10, 6, 20, 1000, 12, 4615.5, 195.964608874
20, 10, 6, 20, 1000, 13, 5166.75, 178.169278522
20, 10, 6, 20, 1000, 14, 6462.0, 219.312178067
20, 10, 6, 20, 1000, 15, 4579.5, 206.897462961
20, 10, 6, 20, 1000, 16, 4615.5, 222.518723537
20, 10, 6, 20, 1000, 17, 4149.75, 181.944478118
20, 10, 6, 20, 1000, 18, 3931.5, 188.328290151
20, 10, 6, 20, 1000, 19, 6319.5, 190.843455554
20, 10, 6, 20, 1000, 20, 5166.75, 194.724122641
20, 10, 6, 20, 1000, 21, 3931.5, 204.258060769
20, 10, 6, 20, 1000, 22, 4615.5, 213.936018482
20, 10, 6, 20, 1000, 23, 4625.25, 166.643945073
20, 10, 6, 20, 1000, 24, 4799.25, 171.843848416
20, 10, 6, 20, 1000, 25, 4411.5, 201.591964992
20, 10, 6, 20, 1000, 26, 4711.5, 198.386935557
20, 10, 6, 20, 1000, 27, 4615.5, 182.296220848
20, 10, 6, 20, 1000, 28, 5166.75, 184.557886479
20, 10, 6, 20, 1000, 29, 5195.25, 167.423205008
20, 10, 6, 20, 1000, 30, 5195.25, 187.773376981
20, 10, 6, 20, 1000, 31, 4019.25, 203.799894868
20, 10, 6, 20, 1000, 32, 4762.5, 188.801061805
20, 10, 6, 20, 1000, 33, 4410.0, 176.387162145
20, 10, 6, 20, 1000, 34, 4615.5, 181.952470613
20, 10, 6, 20, 1000, 35, 5195.25, 186.580152005
20, 10, 6, 20, 1000, 36, 4762.5, 203.434179466
