Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
20, 10, 4, 20, 1000, 1, 7411.5, 73.824980086
20, 10, 4, 20, 1000, 2, 6174.0, 74.555302923
20, 10, 4, 20, 1000, 3, 6585.75, 74.335878117
20, 10, 4, 20, 1000, 4, 6061.5, 74.773368245
20, 10, 4, 20, 1000, 5, 6138.0, 74.570658195
20, 10, 4, 20, 1000, 6, 5798.25, 68.713767806
20, 10, 4, 20, 1000, 7, 7078.5, 74.840353908
20, 10, 4, 20, 1000, 8, 6246.0, 74.233541744
20, 10, 4, 20, 1000, 9, 10510.5, 69.270253321
20, 10, 4, 20, 1000, 10, 7260.0, 91.94188563
20, 10, 4, 20, 1000, 11, 5994.0, 74.916993194
20, 10, 4, 20, 1000, 12, 5929.5, 72.662872774
20, 10, 4, 20, 1000, 13, 6105.75, 82.296321706
20, 10, 4, 20, 1000, 14, 6831.0, 69.202200686
20, 10, 4, 20, 1000, 15, 6471.0, 70.605690289
20, 10, 4, 20, 1000, 16, 6124.5, 64.640170163
20, 10, 4, 20, 1000, 17, 6129.0, 72.72507485
20, 10, 4, 20, 1000, 18, 8124.0, 69.826466154
20, 10, 4, 20, 1000, 19, 8113.5, 77.957705916
20, 10, 4, 20, 1000, 20, 7625.25, 59.676420096
20, 10, 4, 20, 1000, 21, 7581.0, 76.505114514
20, 10, 4, 20, 1000, 22, 6910.5, 65.925871252
20, 10, 4, 20, 1000, 23, 6645.0, 62.433067268
20, 10, 4, 20, 1000, 24, 7712.25, 82.380669504
20, 10, 4, 20, 1000, 25, 6876.0, 71.216754579
20, 10, 4, 20, 1000, 26, 6291.0, 70.690367917
20, 10, 4, 20, 1000, 27, 5800.5, 75.630424279
20, 10, 4, 20, 1000, 28, 6168.75, 71.31036697
20, 10, 4, 20, 1000, 29, 6885.0, 66.084664556
20, 10, 4, 20, 1000, 30, 6201.0, 67.599911687
20, 10, 4, 20, 1000, 31, 6174.0, 68.350321365
20, 10, 4, 20, 1000, 32, 6678.0, 77.306854041
20, 10, 4, 20, 1000, 33, 7465.5, 64.257566938
20, 10, 4, 20, 1000, 34, 7030.5, 59.574677815
20, 10, 4, 20, 1000, 35, 5516.25, 66.193127561
20, 10, 4, 20, 1000, 36, 6910.5, 69.382309318
20, 10, 4, 20, 1000, 37, 7113.0, 72.321944269
20, 10, 4, 20, 1000, 38, 6180.0, 73.771610062
20, 10, 4, 20, 1000, 39, 6889.5, 63.006033909
20, 10, 4, 20, 1000, 40, 5200.5, 70.578943076
20, 10, 4, 20, 1000, 41, 6867.75, 62.973973558
20, 10, 4, 20, 1000, 42, 5726.25, 73.507371133
20, 10, 4, 20, 1000, 43, 6724.5, 62.016773387
20, 10, 4, 20, 1000, 44, 6188.25, 82.042577691
20, 10, 4, 20, 1000, 45, 6876.0, 66.128578213
20, 10, 4, 20, 1000, 46, 6165.0, 77.990033902
20, 10, 4, 20, 1000, 47, 6831.0, 73.094490669
20, 10, 4, 20, 1000, 48, 7006.5, 79.300108666
20, 10, 4, 20, 1000, 49, 5958.0, 69.712270698
20, 10, 4, 20, 1000, 50, 6897.0, 78.896834217
