Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
30, 18, 15, 20, 1000, 1, 1492.5, 488.899497708
30, 18, 15, 20, 1000, 2, 1576.5, 575.804061138
30, 18, 15, 20, 1000, 3, 1470.75, 593.727518433
30, 18, 15, 20, 1000, 4, 1713.0, 566.831904651
30, 18, 15, 20, 1000, 5, 1885.5, 450.41502175
30, 18, 15, 20, 1000, 6, 1479.0, 506.842429601
30, 18, 15, 20, 1000, 7, 1578.0, 570.829986206
30, 18, 15, 20, 1000, 8, 1796.25, 546.572349242
30, 18, 15, 20, 1000, 9, 1470.75, 444.728858946
30, 18, 15, 20, 1000, 10, 1475.25, 467.674210634
30, 18, 15, 20, 1000, 11, 1890.0, 489.343796306
30, 18, 15, 20, 1000, 12, 1544.25, 490.545966312
30, 18, 15, 20, 1000, 13, 1809.0, 424.289027007
30, 18, 15, 20, 1000, 14, 1566.75, 587.183259404
30, 18, 15, 20, 1000, 15, 1627.5, 520.318260074
30, 18, 15, 20, 1000, 16, 1515.75, 530.696587252
30, 18, 15, 20, 1000, 17, 1479.0, 489.343280891
30, 18, 15, 20, 1000, 18, 1868.25, 391.830897072
30, 18, 15, 20, 1000, 19, 1541.25, 532.12425972
30, 18, 15, 20, 1000, 20, 1541.25, 415.977267068
30, 18, 15, 20, 1000, 21, 2105.25, 448.322267465
30, 18, 15, 20, 1000, 22, 1734.75, 456.410071057
30, 18, 15, 20, 1000, 23, 1481.25, 575.340246844
30, 18, 15, 20, 1000, 24, 1639.5, 573.568689326
30, 18, 15, 20, 1000, 25, 1455.0, 428.090019758
30, 18, 15, 20, 1000, 26, 1533.0, 420.378635865
30, 18, 15, 20, 1000, 27, 1492.5, 472.865273348
30, 18, 15, 20, 1000, 28, 1525.5, 420.296376072
30, 18, 15, 20, 1000, 29, 1479.0, 496.04728361
30, 18, 15, 20, 1000, 30, 1488.0, 469.362777839
30, 18, 15, 20, 1000, 31, 1456.5, 438.973793567
30, 18, 15, 20, 1000, 32, 1807.5, 447.596725165
30, 18, 15, 20, 1000, 33, 1492.5, 525.247799059
30, 18, 15, 20, 1000, 34, 1807.5, 423.146812918
30, 18, 15, 20, 1000, 35, 1559.25, 576.532177539
30, 18, 15, 20, 1000, 36, 1544.25, 475.89640939
30, 18, 15, 20, 1000, 37, 1511.25, 476.999474811
30, 18, 15, 20, 1000, 38, 1831.5, 510.516294011
30, 18, 15, 20, 1000, 39, 1485.0, 495.977769198
30, 18, 15, 20, 1000, 40, 1473.75, 468.2850493
30, 18, 15, 20, 1000, 41, 1536.0, 436.501088568
30, 18, 15, 20, 1000, 42, 1943.25, 416.460367801
30, 18, 15, 20, 1000, 43, 1578.0, 597.169333829
30, 18, 15, 20, 1000, 44, 1481.25, 508.785894757
30, 18, 15, 20, 1000, 45, 1525.5, 443.350843441
30, 18, 15, 20, 1000, 46, 1485.75, 506.146332013
30, 18, 15, 20, 1000, 47, 2031.75, 554.02934163
30, 18, 15, 20, 1000, 48, 1525.5, 467.477857639
30, 18, 15, 20, 1000, 49, 1962.0, 489.374477856
30, 18, 15, 20, 1000, 50, 1458.0, 486.850520175
