Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
20, 40, 9, 20, 1000, 1, 0.0, 375.933345005
20, 40, 9, 20, 1000, 2, 3.75, 325.845237187
20, 40, 9, 20, 1000, 3, 0.0, 360.104894644
20, 40, 9, 20, 1000, 4, 180.75, 378.416232831
20, 40, 9, 20, 1000, 5, 3.75, 378.283402378
20, 40, 9, 20, 1000, 6, 12.75, 364.421187406
20, 40, 9, 20, 1000, 7, 0.0, 395.159963955
20, 40, 9, 20, 1000, 8, 0.0, 339.463098604
20, 40, 9, 20, 1000, 9, 3.75, 374.172721426
20, 40, 9, 20, 1000, 10, 0.0, 376.029370604
20, 40, 9, 20, 1000, 11, 12.75, 356.59989015
20, 40, 9, 20, 1000, 12, 0.0, 369.401020784
20, 40, 9, 20, 1000, 13, 0.0, 356.303382051
20, 40, 9, 20, 1000, 14, 312.75, 361.350703628
20, 40, 9, 20, 1000, 15, 3.75, 342.013907411
20, 40, 9, 20, 1000, 16, 0.0, 402.344420849
20, 40, 9, 20, 1000, 17, 186.75, 381.245746863
20, 40, 9, 20, 1000, 18, 0.0, 396.034975272
20, 40, 9, 20, 1000, 19, 0.0, 384.668809938
20, 40, 9, 20, 1000, 20, 310.5, 333.073831138
20, 40, 9, 20, 1000, 21, 0.0, 374.368930389
20, 40, 9, 20, 1000, 22, 0.0, 352.622917437
20, 40, 9, 20, 1000, 23, 0.0, 380.336512565
20, 40, 9, 20, 1000, 24, 312.75, 357.455906382
20, 40, 9, 20, 1000, 25, 0.0, 335.07984178
20, 40, 9, 20, 1000, 26, 153.75, 342.33299914
20, 40, 9, 20, 1000, 27, 315.75, 359.873483322
20, 40, 9, 20, 1000, 28, 3.75, 375.217570843
20, 40, 9, 20, 1000, 29, 189.0, 382.077587925
20, 40, 9, 20, 1000, 30, 0.0, 365.27739918
20, 40, 9, 20, 1000, 31, 0.0, 382.035563615
20, 40, 9, 20, 1000, 32, 6.75, 347.055532551
20, 40, 9, 20, 1000, 33, 3.75, 363.498677789
20, 40, 9, 20, 1000, 34, 0.0, 346.060533256
20, 40, 9, 20, 1000, 35, 329.25, 367.651358265
20, 40, 9, 20, 1000, 36, 3.75, 322.42097655
20, 40, 9, 20, 1000, 37, 183.75, 356.914285762
20, 40, 9, 20, 1000, 38, 0.0, 363.966627791
20, 40, 9, 20, 1000, 39, 0.0, 329.508330613
20, 40, 9, 20, 1000, 40, 3.75, 368.702017814
20, 40, 9, 20, 1000, 41, 3.75, 351.248732277
20, 40, 9, 20, 1000, 42, 6.0, 358.518038476
20, 40, 9, 20, 1000, 43, 3.75, 362.875458365
20, 40, 9, 20, 1000, 44, 3.75, 373.387062192
20, 40, 9, 20, 1000, 45, 213.75, 354.082805085
20, 40, 9, 20, 1000, 46, 0.0, 341.427423739
20, 40, 9, 20, 1000, 47, 3.0, 373.059771561
20, 40, 9, 20, 1000, 48, 165.75, 367.768160725
20, 40, 9, 20, 1000, 49, 326.25, 354.219559881
20, 40, 9, 20, 1000, 50, 0.0, 355.249425176
