Inbound Trailers, Outbound Trailers, Doors,population, iterations, iter, Objective, Solution time
50, 70, 9, 20, 1000, 1, 11744.25, 2233.504542417
50, 70, 9, 20, 1000, 2, 10692.0, 2359.287899956
50, 70, 9, 20, 1000, 3, 11796.75, 2349.842845509
50, 70, 9, 20, 1000, 4, 12181.5, 2379.41580157
50, 70, 9, 20, 1000, 5, 12415.5, 2366.557843007
50, 70, 9, 20, 1000, 6, 11460.0, 2348.317950104
50, 70, 9, 20, 1000, 7, 12435.0, 1955.010357561
50, 70, 9, 20, 1000, 8, 11784.0, 2281.680409491
50, 70, 9, 20, 1000, 9, 11316.75, 2111.285877939
50, 70, 9, 20, 1000, 10, 13965.75, 2241.23781813
50, 70, 9, 20, 1000, 11, 9724.5, 2203.802272654
50, 70, 9, 20, 1000, 12, 11010.0, 2343.783937839
50, 70, 9, 20, 1000, 13, 11348.25, 2248.584702327
50, 70, 9, 20, 1000, 14, 11646.75, 2354.739493124
50, 70, 9, 20, 1000, 15, 11624.25, 2287.475344288
50, 70, 9, 20, 1000, 16, 9984.75, 2375.087351233
50, 70, 9, 20, 1000, 17, 10022.25, 2313.200285943
50, 70, 9, 20, 1000, 18, 10830.75, 2331.792506831
50, 70, 9, 20, 1000, 19, 12393.75, 2431.385775686
50, 70, 9, 20, 1000, 20, 11201.25, 2206.593834589
50, 70, 9, 20, 1000, 21, 11406.0, 2471.40634066
50, 70, 9, 20, 1000, 22, 12406.5, 2164.361151452
50, 70, 9, 20, 1000, 23, 10126.5, 2289.71223023
50, 70, 9, 20, 1000, 24, 8990.25, 2353.652378447
50, 70, 9, 20, 1000, 25, 10477.5, 2439.77381946
50, 70, 9, 20, 1000, 26, 14331.75, 2298.103345394
50, 70, 9, 20, 1000, 27, 10105.5, 2298.79510868
50, 70, 9, 20, 1000, 28, 10242.0, 2269.549052536
50, 70, 9, 20, 1000, 29, 11355.75, 2378.203679108
50, 70, 9, 20, 1000, 30, 10332.0, 2398.111430762
50, 70, 9, 20, 1000, 31, 11042.25, 2378.82814625
50, 70, 9, 20, 1000, 32, 10273.5, 2269.371243482
50, 70, 9, 20, 1000, 33, 10769.25, 2170.510972259
50, 70, 9, 20, 1000, 34, 10821.0, 2250.211424133
50, 70, 9, 20, 1000, 35, 11662.5, 2372.244161717
50, 70, 9, 20, 1000, 36, 11622.75, 2329.770294549
50, 70, 9, 20, 1000, 37, 11364.0, 2392.072088413
