Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
50, 70, 3, 6, 20, 1000, 1, 26726.25,1636.0,2294.103849241
50, 70, 3, 6, 20, 1000, 2, 21888.0,1569.5,2374.849914081
50, 70, 3, 6, 20, 1000, 3, 32347.5,1600.5,2292.088538355
50, 70, 3, 6, 20, 1000, 4, 25476.75,1598.0,2303.630176107
50, 70, 3, 6, 20, 1000, 5, 24038.25,1584.5,2233.814308757
50, 70, 3, 6, 20, 1000, 6, 23704.5,1594.25,2254.727137115
50, 70, 3, 6, 20, 1000, 7, 24425.25,1574.75,2319.257242374
50, 70, 3, 6, 20, 1000, 8, 25791.0,1587.5,2268.657852587
50, 70, 3, 6, 20, 1000, 9, 23325.75,1583.75,2274.443588403
50, 70, 3, 6, 20, 1000, 10, 24886.5,1594.25,2208.14143287
50, 70, 3, 6, 20, 1000, 11, 25346.25,1595.0,2213.645331706
50, 70, 3, 6, 20, 1000, 12, 24120.0,1561.5,2219.103447434
50, 70, 3, 6, 20, 1000, 13, 25942.5,1572.5,2287.295068423
50, 70, 3, 6, 20, 1000, 14, 20439.75,1549.5,2196.128831225
50, 70, 3, 6, 20, 1000, 15, 19516.5,1558.25,2259.510491008
