Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
65, 50, 3, 6, 20, 1000, 1, 83874.0,2033.0,1671.335654603
65, 50, 3, 6, 20, 1000, 2, 78608.25,1993.0,1566.040262934
65, 50, 3, 6, 20, 1000, 3, 83657.25,1957.75,1551.968869919
65, 50, 3, 6, 20, 1000, 4, 88323.0,1985.75,1578.354300606
65, 50, 3, 6, 20, 1000, 5, 72516.0,1984.0,1520.013661693
65, 50, 3, 6, 20, 1000, 6, 79705.5,2008.5,1605.756037877
65, 50, 3, 6, 20, 1000, 7, 79676.25,2027.75,1639.227224158
65, 50, 3, 6, 20, 1000, 8, 78438.0,1965.5,1674.840330015
65, 50, 3, 6, 20, 1000, 9, 86416.5,1998.0,1681.483484844
65, 50, 3, 6, 20, 1000, 10, 76911.0,1954.0,1613.953425344
65, 50, 3, 6, 20, 1000, 11, 77034.75,2016.5,1668.085491284
65, 50, 3, 6, 20, 1000, 12, 86365.5,2010.75,1631.908984674
65, 50, 3, 6, 20, 1000, 13, 88809.75,2050.25,1741.492817583
65, 50, 3, 6, 20, 1000, 14, 93372.0,2001.75,1590.691198787
65, 50, 3, 6, 20, 1000, 15, 70547.25,1963.25,1611.102345807
65, 50, 3, 6, 20, 1000, 16, 78341.25,1971.0,1591.434052939
65, 50, 3, 6, 20, 1000, 17, 77337.0,1981.0,1608.55104414
65, 50, 3, 6, 20, 1000, 18, 79297.5,2000.25,1649.934411141
65, 50, 3, 6, 20, 1000, 19, 79090.5,1998.0,1574.855669815
65, 50, 3, 6, 20, 1000, 20, 87104.25,2002.0,1566.130250642
65, 50, 3, 6, 20, 1000, 21, 82239.75,1973.75,1685.728400352
65, 50, 3, 6, 20, 1000, 22, 76947.75,1958.75,1671.284066784
65, 50, 3, 6, 20, 1000, 23, 79686.75,1975.25,1628.761133927
65, 50, 3, 6, 20, 1000, 24, 73521.75,1978.0,1588.070625483
65, 50, 3, 6, 20, 1000, 25, 76686.75,1953.0,1600.853128786
65, 50, 3, 6, 20, 1000, 26, 71098.5,1972.5,1658.515797059
65, 50, 3, 6, 20, 1000, 27, 71802.75,1995.25,1648.499162681
65, 50, 3, 6, 20, 1000, 28, 83643.0,1994.25,1582.506644749
65, 50, 3, 6, 20, 1000, 29, 73815.75,1946.75,1568.678184204
65, 50, 3, 6, 20, 1000, 30, 78286.5,2025.0,1568.49426859
65, 50, 3, 6, 20, 1000, 31, 75206.25,1965.5,1650.205223604
65, 50, 3, 6, 20, 1000, 32, 73611.75,1961.0,1600.768852677
65, 50, 3, 6, 20, 1000, 33, 78982.5,2064.0,1600.203194468
65, 50, 3, 6, 20, 1000, 34, 78373.5,2032.5,1635.451268594
65, 50, 3, 6, 20, 1000, 35, 87953.25,2043.75,1612.323291198
65, 50, 3, 6, 20, 1000, 36, 75508.5,1977.0,1634.353069889
65, 50, 3, 6, 20, 1000, 37, 77241.75,2007.0,1603.669145279
65, 50, 3, 6, 20, 1000, 38, 72034.5,1991.5,1559.062242303
65, 50, 3, 6, 20, 1000, 39, 76405.5,2013.0,1577.116302487
65, 50, 3, 6, 20, 1000, 40, 85751.25,2128.5,1540.188963334
65, 50, 3, 6, 20, 1000, 41, 74834.25,1961.0,1616.519107263
65, 50, 3, 6, 20, 1000, 42, 74402.25,1989.0,1666.608997108
65, 50, 3, 6, 20, 1000, 43, 79227.75,1984.5,1575.675297064
65, 50, 3, 6, 20, 1000, 44, 72818.25,1965.0,1619.782980598
65, 50, 3, 6, 20, 1000, 45, 80905.5,1961.5,1605.481979925
65, 50, 3, 6, 20, 1000, 46, 80622.75,2033.5,1583.404051015
65, 50, 3, 6, 20, 1000, 47, 77670.0,1995.0,1703.603946896
65, 50, 3, 6, 20, 1000, 48, 74694.0,1960.25,1599.721769833
65, 50, 3, 6, 20, 1000, 49, 75432.0,1995.0,1650.692015729
65, 50, 3, 6, 20, 1000, 50, 78006.0,1996.75,1650.349068543
