Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
50, 70, 3, 6, 20, 1000, 1, 20247.0,1584.0,2140.086489772
50, 70, 3, 6, 20, 1000, 2, 24738.75,1596.0,2259.128458858
50, 70, 3, 6, 20, 1000, 3, 23035.5,1579.5,2143.701781035
50, 70, 3, 6, 20, 1000, 4, 23527.5,1566.75,2163.695620723
50, 70, 3, 6, 20, 1000, 5, 25246.5,1575.75,2192.82862622
50, 70, 3, 6, 20, 1000, 6, 29959.5,1608.5,2184.814139271
50, 70, 3, 6, 20, 1000, 7, 21908.25,1559.0,2220.227498094
50, 70, 3, 6, 20, 1000, 8, 25296.75,1616.0,2237.00609103
50, 70, 3, 6, 20, 1000, 9, 22070.25,1555.5,2167.305351736
50, 70, 3, 6, 20, 1000, 10, 30937.5,1611.5,2167.621196507
50, 70, 3, 6, 20, 1000, 11, 24904.5,1604.0,2205.699597953
50, 70, 3, 6, 20, 1000, 12, 29105.25,1599.5,2215.587643982
50, 70, 3, 6, 20, 1000, 13, 23740.5,1619.0,2245.940115558
50, 70, 3, 6, 20, 1000, 14, 23714.25,1565.75,2255.095852028
50, 70, 3, 6, 20, 1000, 15, 21541.5,1589.25,2231.760882794
50, 70, 3, 6, 20, 1000, 16, 25488.0,1598.0,2172.12568152
50, 70, 3, 6, 20, 1000, 17, 30872.25,1624.25,2213.690125786
50, 70, 3, 6, 20, 1000, 18, 21285.0,1571.25,2209.687247513
50, 70, 3, 6, 20, 1000, 19, 30306.75,1614.25,2178.164794253
50, 70, 3, 6, 20, 1000, 20, 21198.0,1593.5,2199.970200758
50, 70, 3, 6, 20, 1000, 21, 26964.75,1590.0,2187.971840188
50, 70, 3, 6, 20, 1000, 22, 20478.75,1560.75,2189.444808472
50, 70, 3, 6, 20, 1000, 23, 27431.25,1563.75,2321.321710731
50, 70, 3, 6, 20, 1000, 24, 27776.25,1641.5,2194.455263421
50, 70, 3, 6, 20, 1000, 25, 27870.0,1616.0,2212.698363342
50, 70, 3, 6, 20, 1000, 26, 25738.5,1558.25,2227.365443853
50, 70, 3, 6, 20, 1000, 27, 28454.25,1577.0,2220.530454893
50, 70, 3, 6, 20, 1000, 28, 24846.75,1585.25,2162.907512832
50, 70, 3, 6, 20, 1000, 29, 21900.0,1565.0,2263.810993412
50, 70, 3, 6, 20, 1000, 30, 27017.25,1575.0,2253.48217706
50, 70, 3, 6, 20, 1000, 31, 26374.5,1569.75,2204.268786583
50, 70, 3, 6, 20, 1000, 32, 26584.5,1580.25,2202.104103111
50, 70, 3, 6, 20, 1000, 33, 28089.0,1576.75,2215.892080546
50, 70, 3, 6, 20, 1000, 34, 22212.0,1572.5,2155.417149314
50, 70, 3, 6, 20, 1000, 35, 29205.0,1609.25,2242.119052407
50, 70, 3, 6, 20, 1000, 36, 25119.0,1556.0,2228.037953178
50, 70, 3, 6, 20, 1000, 37, 24894.0,1576.5,2173.124193252
50, 70, 3, 6, 20, 1000, 38, 19432.5,1601.0,2234.728079506
50, 70, 3, 6, 20, 1000, 39, 30531.0,1579.25,2217.640060288
