Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
15, 12, 2, 3, 20, 1000, 1, 4125.0,1249.0,107.191281823
15, 12, 2, 3, 20, 1000, 2, 4125.0,1120.75,106.054425458
15, 12, 2, 3, 20, 1000, 3, 4125.0,1168.0,106.918216099
15, 12, 2, 3, 20, 1000, 4, 4248.0,1159.75,107.54902497
15, 12, 2, 3, 20, 1000, 5, 4132.5,1261.75,106.708726724
15, 12, 2, 3, 20, 1000, 6, 4132.5,1249.0,106.138363686
15, 12, 2, 3, 20, 1000, 7, 4132.5,1199.25,105.872346251
15, 12, 2, 3, 20, 1000, 8, 4207.5,1168.0,107.985986355
15, 12, 2, 3, 20, 1000, 9, 4243.5,1209.75,109.736189027
15, 12, 2, 3, 20, 1000, 10, 4125.0,1192.0,105.901413352
15, 12, 2, 3, 20, 1000, 11, 4207.5,1186.0,107.679818858
15, 12, 2, 3, 20, 1000, 12, 4125.0,1261.0,104.843378641
15, 12, 2, 3, 20, 1000, 13, 4207.5,1123.0,107.984611127
15, 12, 2, 3, 20, 1000, 14, 4132.5,1222.75,107.368667259
15, 12, 2, 3, 20, 1000, 15, 4207.5,1120.75,108.358375365
15, 12, 2, 3, 20, 1000, 16, 4125.0,1126.0,106.000350119
15, 12, 2, 3, 20, 1000, 17, 4207.5,1213.25,108.574042556
15, 12, 2, 3, 20, 1000, 18, 4132.5,1202.75,106.760791474
15, 12, 2, 3, 20, 1000, 19, 4207.5,1240.75,107.52774856
15, 12, 2, 3, 20, 1000, 20, 4207.5,1237.25,108.423418779
15, 12, 2, 3, 20, 1000, 21, 4125.0,1198.75,105.244120598
15, 12, 2, 3, 20, 1000, 22, 4207.5,1180.75,108.233067518
15, 12, 2, 3, 20, 1000, 23, 4207.5,1333.0,107.858130814
15, 12, 2, 3, 20, 1000, 24, 4125.0,1234.0,106.474041916
15, 12, 2, 3, 20, 1000, 25, 4248.0,1235.75,108.201632188
15, 12, 2, 3, 20, 1000, 26, 4207.5,1168.25,108.420647058
15, 12, 2, 3, 20, 1000, 27, 4125.0,1255.0,105.742371944
15, 12, 2, 3, 20, 1000, 28, 4132.5,1346.75,107.343444571
15, 12, 2, 3, 20, 1000, 29, 4207.5,1236.25,107.341187399
15, 12, 2, 3, 20, 1000, 30, 4207.5,1261.0,108.353867159
15, 12, 2, 3, 20, 1000, 31, 4125.0,1270.5,107.405828209
15, 12, 2, 3, 20, 1000, 32, 4207.5,1103.25,108.043823606
15, 12, 2, 3, 20, 1000, 33, 4125.0,1270.5,106.640872142
15, 12, 2, 3, 20, 1000, 34, 4125.0,1246.75,106.014392663
15, 12, 2, 3, 20, 1000, 35, 4125.0,1216.5,105.788269467
15, 12, 2, 3, 20, 1000, 36, 4125.0,1180.0,106.769493361
15, 12, 2, 3, 20, 1000, 37, 4125.0,1219.0,106.363734166
15, 12, 2, 3, 20, 1000, 38, 4207.5,1138.0,108.042793734
15, 12, 2, 3, 20, 1000, 39, 4207.5,1216.25,107.386465168
15, 12, 2, 3, 20, 1000, 40, 4125.0,1318.75,106.317831815
15, 12, 2, 3, 20, 1000, 41, 4132.5,1177.75,108.277733523
15, 12, 2, 3, 20, 1000, 42, 4207.5,1151.25,108.657713683
15, 12, 2, 3, 20, 1000, 43, 4207.5,1138.0,107.880469405
15, 12, 2, 3, 20, 1000, 44, 4125.0,1183.25,106.44024227
15, 12, 2, 3, 20, 1000, 45, 4125.0,1197.25,107.636887589
15, 12, 2, 3, 20, 1000, 46, 4125.0,1184.75,107.611521346
15, 12, 2, 3, 20, 1000, 47, 4125.0,1219.0,105.89462148
15, 12, 2, 3, 20, 1000, 48, 4207.5,1168.25,107.040529278
15, 12, 2, 3, 20, 1000, 49, 4248.0,1263.25,108.11846002
15, 12, 2, 3, 20, 1000, 50, 4132.5,1168.0,105.573303852
