Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
65, 50, 6, 12, 20, 1000, 1, 0.75,1231.0,2932.773425019
65, 50, 6, 12, 20, 1000, 2, 2.25,1239.0,3136.68616966
65, 50, 6, 12, 20, 1000, 3, 0.0,1301.25,3137.410192266
65, 50, 6, 12, 20, 1000, 4, 11.25,1237.75,3028.710799241
65, 50, 6, 12, 20, 1000, 5, 0.0,1291.75,3036.054405689
65, 50, 6, 12, 20, 1000, 6, 4.5,1254.5,3255.189889363
65, 50, 6, 12, 20, 1000, 7, 0.75,1249.5,3267.58475037
65, 50, 6, 12, 20, 1000, 8, 5.25,1224.25,3066.78204298
65, 50, 6, 12, 20, 1000, 9, 0.0,1288.5,3003.984780168
65, 50, 6, 12, 20, 1000, 10, 0.75,1329.0,3022.522232925
65, 50, 6, 12, 20, 1000, 11, 0.0,1233.5,3082.308697814
65, 50, 6, 12, 20, 1000, 12, 0.0,1205.25,2988.251348366
65, 50, 6, 12, 20, 1000, 13, 0.0,1246.0,3092.696612102
65, 50, 6, 12, 20, 1000, 14, 24.0,1368.75,3023.104413261
65, 50, 6, 12, 20, 1000, 15, 0.75,1259.75,3117.628409071
65, 50, 6, 12, 20, 1000, 16, 0.0,1222.0,2964.328102665
65, 50, 6, 12, 20, 1000, 17, 5.25,1279.5,3069.258802713
65, 50, 6, 12, 20, 1000, 18, 0.0,1247.5,3031.458935301
65, 50, 6, 12, 20, 1000, 19, 0.0,1235.5,3043.505178846
65, 50, 6, 12, 20, 1000, 20, 0.75,1249.75,2961.202110231
65, 50, 6, 12, 20, 1000, 21, 2.25,1345.0,3018.910730324
65, 50, 6, 12, 20, 1000, 22, 0.75,1314.75,3097.877901413
65, 50, 6, 12, 20, 1000, 23, 0.75,1303.0,2967.055559062
65, 50, 6, 12, 20, 1000, 24, 15.0,1247.0,2958.009745641
65, 50, 6, 12, 20, 1000, 25, 5.25,1257.0,3078.025921759
65, 50, 6, 12, 20, 1000, 26, 0.75,1292.5,3086.809569727
65, 50, 6, 12, 20, 1000, 27, 0.0,1238.0,3060.73425302
65, 50, 6, 12, 20, 1000, 28, 0.0,1331.25,3105.035978427
