Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
25, 18, 2, 4, 20, 1000, 1, 5981.25,1238.75,194.349001022
25, 18, 2, 4, 20, 1000, 2, 5220.0,1253.0,189.032283669
25, 18, 2, 4, 20, 1000, 3, 6383.25,1261.75,190.61926581
25, 18, 2, 4, 20, 1000, 4, 5266.5,1169.25,188.761721374
25, 18, 2, 4, 20, 1000, 5, 5081.25,1179.25,190.277881315
25, 18, 2, 4, 20, 1000, 6, 5775.0,1270.75,189.954082346
25, 18, 2, 4, 20, 1000, 7, 5588.25,1250.75,190.207086544
25, 18, 2, 4, 20, 1000, 8, 5651.25,1287.75,187.827528225
25, 18, 2, 4, 20, 1000, 9, 5434.5,1201.25,182.343148518
25, 18, 2, 4, 20, 1000, 10, 5979.0,1238.0,175.181616777
25, 18, 2, 4, 20, 1000, 11, 5798.25,1253.5,185.53576917
25, 18, 2, 4, 20, 1000, 12, 5460.0,1171.25,179.430873864
25, 18, 2, 4, 20, 1000, 13, 6491.25,1196.25,185.261005822
25, 18, 2, 4, 20, 1000, 14, 5277.75,1326.0,183.883092388
25, 18, 2, 4, 20, 1000, 15, 5467.5,1197.25,181.539956715
25, 18, 2, 4, 20, 1000, 16, 5856.75,1289.0,185.447043741
25, 18, 2, 4, 20, 1000, 17, 5310.0,1263.75,179.201322519
25, 18, 2, 4, 20, 1000, 18, 5581.5,1206.5,184.08665352
25, 18, 2, 4, 20, 1000, 19, 5178.75,1248.25,181.964747278
25, 18, 2, 4, 20, 1000, 20, 5726.25,1236.75,180.635381748
25, 18, 2, 4, 20, 1000, 21, 6766.5,1232.5,184.510599633
25, 18, 2, 4, 20, 1000, 22, 5405.25,1211.5,181.83253396
25, 18, 2, 4, 20, 1000, 23, 5259.0,1250.75,178.509983567
25, 18, 2, 4, 20, 1000, 24, 5361.0,1172.75,181.936524562
25, 18, 2, 4, 20, 1000, 25, 5921.25,1259.0,185.305486668
25, 18, 2, 4, 20, 1000, 26, 5265.75,1263.75,186.150327615
25, 18, 2, 4, 20, 1000, 27, 5232.75,1201.5,180.369262064
25, 18, 2, 4, 20, 1000, 28, 5751.75,1268.75,181.713891681
25, 18, 2, 4, 20, 1000, 29, 5460.75,1270.5,179.609860928
25, 18, 2, 4, 20, 1000, 30, 5944.5,1246.25,180.520356428
25, 18, 2, 4, 20, 1000, 31, 5445.0,1253.75,175.742329671
25, 18, 2, 4, 20, 1000, 32, 5325.0,1216.5,179.21539223
25, 18, 2, 4, 20, 1000, 33, 5485.5,1172.5,182.395556242
25, 18, 2, 4, 20, 1000, 34, 5261.25,1248.75,178.22543845
25, 18, 2, 4, 20, 1000, 35, 5071.5,1200.25,180.445612717
25, 18, 2, 4, 20, 1000, 36, 5178.75,1249.0,182.447224487
25, 18, 2, 4, 20, 1000, 37, 7227.75,1266.0,184.2555536
25, 18, 2, 4, 20, 1000, 38, 6158.25,1173.25,182.256363571
25, 18, 2, 4, 20, 1000, 39, 5852.25,1235.25,180.388209386
25, 18, 2, 4, 20, 1000, 40, 5838.75,1261.25,180.104680158
25, 18, 2, 4, 20, 1000, 41, 6498.75,1206.5,183.168206241
25, 18, 2, 4, 20, 1000, 42, 4988.25,1188.25,182.10464175
25, 18, 2, 4, 20, 1000, 43, 5526.0,1214.75,180.929940808
25, 18, 2, 4, 20, 1000, 44, 5274.0,1205.5,182.592794279
25, 18, 2, 4, 20, 1000, 45, 5828.25,1189.75,183.790649689
25, 18, 2, 4, 20, 1000, 46, 5023.5,1247.0,179.18649168
25, 18, 2, 4, 20, 1000, 47, 5367.75,1181.75,184.60469359
25, 18, 2, 4, 20, 1000, 48, 5205.0,1195.75,183.006092506
25, 18, 2, 4, 20, 1000, 49, 5561.25,1264.5,176.601960629
25, 18, 2, 4, 20, 1000, 50, 5350.5,1222.0,182.405426715
