Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
30, 12, 4, 8, 20, 1000, 1, 128.25,1184.75,350.977745009
30, 12, 4, 8, 20, 1000, 2, 128.25,1115.5,338.336361365
30, 12, 4, 8, 20, 1000, 3, 128.25,1117.0,329.799486948
30, 12, 4, 8, 20, 1000, 4, 128.25,1171.5,326.582635761
30, 12, 4, 8, 20, 1000, 5, 128.25,1268.5,323.875239389
30, 12, 4, 8, 20, 1000, 6, 128.25,1268.75,324.038181808
30, 12, 4, 8, 20, 1000, 7, 128.25,1083.25,324.397224756
30, 12, 4, 8, 20, 1000, 8, 128.25,1184.75,339.438595677
30, 12, 4, 8, 20, 1000, 9, 128.25,1159.25,342.888450613
30, 12, 4, 8, 20, 1000, 10, 128.25,1167.5,318.064479416
30, 12, 4, 8, 20, 1000, 11, 128.25,1087.75,325.762946862
30, 12, 4, 8, 20, 1000, 12, 128.25,1109.75,323.634896684
30, 12, 4, 8, 20, 1000, 13, 128.25,1210.25,324.374687283
30, 12, 4, 8, 20, 1000, 14, 128.25,1067.75,322.026913432
30, 12, 4, 8, 20, 1000, 15, 128.25,1129.75,326.660723388
30, 12, 4, 8, 20, 1000, 16, 128.25,1108.0,316.054207631
30, 12, 4, 8, 20, 1000, 17, 128.25,1126.75,324.215959704
30, 12, 4, 8, 20, 1000, 18, 128.25,1186.0,320.766421765
30, 12, 4, 8, 20, 1000, 19, 128.25,1129.25,319.579087993
30, 12, 4, 8, 20, 1000, 20, 128.25,1083.5,321.228732461
30, 12, 4, 8, 20, 1000, 21, 128.25,1081.75,318.528342224
30, 12, 4, 8, 20, 1000, 22, 128.25,1120.0,330.524358574
30, 12, 4, 8, 20, 1000, 23, 128.25,1061.0,329.231900291
30, 12, 4, 8, 20, 1000, 24, 134.25,1126.75,368.657934487
30, 12, 4, 8, 20, 1000, 25, 132.75,1126.75,363.459094138
30, 12, 4, 8, 20, 1000, 26, 128.25,1153.25,315.76119452
30, 12, 4, 8, 20, 1000, 27, 132.75,1083.25,360.977901304
30, 12, 4, 8, 20, 1000, 28, 130.5,1172.0,310.05001076
30, 12, 4, 8, 20, 1000, 29, 128.25,1184.75,321.647648251
30, 12, 4, 8, 20, 1000, 30, 128.25,1044.5,312.051394107
30, 12, 4, 8, 20, 1000, 31, 128.25,1201.25,328.860958391
30, 12, 4, 8, 20, 1000, 32, 128.25,1098.5,314.55226363
30, 12, 4, 8, 20, 1000, 33, 132.75,1078.75,357.305466834
30, 12, 4, 8, 20, 1000, 34, 128.25,1126.75,325.062394088
30, 12, 4, 8, 20, 1000, 35, 128.25,1195.0,313.904765496
30, 12, 4, 8, 20, 1000, 36, 128.25,1099.0,325.023804065
30, 12, 4, 8, 20, 1000, 37, 128.25,1126.75,327.060461764
30, 12, 4, 8, 20, 1000, 38, 128.25,1233.5,326.278403491
30, 12, 4, 8, 20, 1000, 39, 128.25,1084.25,333.096143421
30, 12, 4, 8, 20, 1000, 40, 128.25,1117.0,324.655777871
30, 12, 4, 8, 20, 1000, 41, 132.75,1081.75,360.6093055
30, 12, 4, 8, 20, 1000, 42, 128.25,1129.0,318.338109837
30, 12, 4, 8, 20, 1000, 43, 128.25,1080.25,313.098666983
30, 12, 4, 8, 20, 1000, 44, 128.25,1062.0,320.120183918
30, 12, 4, 8, 20, 1000, 45, 128.25,1111.0,328.648413831
30, 12, 4, 8, 20, 1000, 46, 128.25,1156.0,328.374189546
30, 12, 4, 8, 20, 1000, 47, 128.25,1102.0,318.706970915
30, 12, 4, 8, 20, 1000, 48, 128.25,1091.0,313.040441331
30, 12, 4, 8, 20, 1000, 49, 131.25,1115.0,306.721720103
30, 12, 4, 8, 20, 1000, 50, 128.25,1091.0,316.689904774
