Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
30,12,3,6,20,1000,1,177,1132,299.6076759
30,12,3,6,20,1000,2,177,1267.5,267.9890862
30,12,3,6,20,1000,2,160.5,1081.5,290.2576705
30,12,3,6,20,1000,3,161.25,1131.5,262.1683535
30,12,3,6,20,1000,3,168.75,1083.5,288.8721594
30,12,3,6,20,1000,4,184.5,1184.75,268.1845026
30,12,3,6,20,1000,4,161.25,1185.5,288.8185385
30,12,3,6,20,1000,5,177,1174,261.129786
30,12,3,6,20,1000,5,160.5,1240.5,276.7155252
30,12,3,6,20,1000,6,189.75,1184.75,257.8170801
30,12,3,6,20,1000,6,161.25,1125.5,282.5582254
30,12,3,6,20,1000,7,161.25,1146.5,258.6643295
30,12,3,6,20,1000,7,161.25,1156,282.2690997
30,12,3,6,20,1000,8,173.25,1189,255.9883023
30,12,3,6,20,1000,8,174.75,1303.5,282.2571365
30,12,3,6,20,1000,9,161.25,1244.5,254.3181747
30,12,3,6,20,1000,9,161.25,1185.5,280.4608043
30,12,3,6,20,1000,10,171.75,1122.5,257.9141694
30,12,3,6,20,1000,10,193.5,1106,273.1961222
30,12,3,6,20,1000,11,211.5,1182.5,258.805604
30,12,3,6,20,1000,12,160.5,1161.25,261.3514656
30,12,3,6,20,1000,11,186.75,1125.25,281.3969998
30,12,3,6,20,1000,13,161.25,1185.5,253.419112
30,12,3,6,20,1000,12,173.25,1189,278.8555811
30,12,3,6,20,1000,14,213,1137.5,258.4314684
30,12,3,6,20,1000,13,161.25,1244,281.8454452
30,12,3,6,20,1000,15,161.25,1152.5,257.7375103
30,12,3,6,20,1000,14,253.5,1128.5,284.9674052
30,12,3,6,20,1000,16,268.5,1184.75,263.4351516
30,12,3,6,20,1000,15,177,1093.75,277.0190021
30,12,3,6,20,1000,17,161.25,1116.5,263.1546381
30,12,3,6,20,1000,16,161.25,1095.5,285.24721
30,12,3,6,20,1000,18,166.5,1110.5,257.7219108
30,12,3,6,20,1000,17,161.25,1112.5,277.8805203
30,12,3,6,20,1000,19,268.5,1184.75,258.8699955
