Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
50, 40, 4, 8, 20, 1000, 1, 157.5,1236.5,1329.800255324
50, 40, 4, 8, 20, 1000, 2, 97.5,1327.5,1311.630029415
50, 40, 4, 8, 20, 1000, 3, 64.5,1267.5,1331.100002389
50, 40, 4, 8, 20, 1000, 4, 0.0,1309.25,1312.220912836
50, 40, 4, 8, 20, 1000, 5, 59.25,1307.0,1289.243330482
50, 40, 4, 8, 20, 1000, 6, 33.75,1239.5,1337.635244132
50, 40, 4, 8, 20, 1000, 7, 160.5,1297.25,1318.214866035
50, 40, 4, 8, 20, 1000, 8, 329.25,1323.0,1353.279140349
50, 40, 4, 8, 20, 1000, 9, 160.5,1254.5,1364.410463066
50, 40, 4, 8, 20, 1000, 10, 105.0,1285.5,1323.89603257
50, 40, 4, 8, 20, 1000, 11, 91.5,1283.25,1278.600366593
50, 40, 4, 8, 20, 1000, 12, 17.25,1326.5,1258.921872443
50, 40, 4, 8, 20, 1000, 13, 48.75,1299.0,1269.594497722
50, 40, 4, 8, 20, 1000, 14, 0.0,1319.0,1308.480290464
50, 40, 4, 8, 20, 1000, 15, 509.25,1324.5,1308.144484262
50, 40, 4, 8, 20, 1000, 16, 391.5,1228.25,1273.968988598
50, 40, 4, 8, 20, 1000, 17, 161.25,1315.75,1261.827861559
50, 40, 4, 8, 20, 1000, 18, 94.5,1297.25,1302.007400508
50, 40, 4, 8, 20, 1000, 19, 120.75,1239.5,1280.780064773
50, 40, 4, 8, 20, 1000, 20, 58.5,1263.75,1268.579461725
50, 40, 4, 8, 20, 1000, 21, 119.25,1316.25,1291.375184085
50, 40, 4, 8, 20, 1000, 22, 71.25,1233.5,1262.762642383
50, 40, 4, 8, 20, 1000, 23, 116.25,1326.0,1305.031102177
50, 40, 4, 8, 20, 1000, 24, 276.0,1284.0,1273.417489929
50, 40, 4, 8, 20, 1000, 25, 258.0,1332.5,1326.12461088
50, 40, 4, 8, 20, 1000, 26, 4.5,1302.75,1398.479980712
50, 40, 4, 8, 20, 1000, 27, 135.75,1251.5,1379.664793508
50, 40, 4, 8, 20, 1000, 28, 0.0,1298.0,1405.117947599
50, 40, 4, 8, 20, 1000, 29, 5.25,1324.25,1400.455690465
50, 40, 4, 8, 20, 1000, 30, 324.75,1238.5,1461.064676016
50, 40, 4, 8, 20, 1000, 31, 14.25,1246.25,1382.703983163
50, 40, 4, 8, 20, 1000, 32, 70.5,1327.5,1384.886321848
50, 40, 4, 8, 20, 1000, 33, 0.0,1240.5,1369.688726999
50, 40, 4, 8, 20, 1000, 34, 103.5,1237.5,1406.061141417
50, 40, 4, 8, 20, 1000, 35, 162.0,1264.5,1447.342721381
50, 40, 4, 8, 20, 1000, 36, 72.75,1261.0,1357.066914911
50, 40, 4, 8, 20, 1000, 37, 20.25,1339.5,1404.864757024
50, 40, 4, 8, 20, 1000, 38, 51.75,1331.25,1373.436297877
50, 40, 4, 8, 20, 1000, 39, 121.5,1263.75,1415.964947068
50, 40, 4, 8, 20, 1000, 40, 11.25,1286.25,1426.333863791
50, 40, 4, 8, 20, 1000, 41, 366.0,1253.5,1398.909292781
50, 40, 4, 8, 20, 1000, 42, 114.75,1250.0,1413.442962628
50, 40, 4, 8, 20, 1000, 43, 0.0,1261.5,1403.544065649
50, 40, 4, 8, 20, 1000, 44, 0.0,1326.75,1488.298861179
50, 40, 4, 8, 20, 1000, 45, 6.75,1272.5,1393.988163859
50, 40, 4, 8, 20, 1000, 46, 21.75,1262.0,1415.813944088
50, 40, 4, 8, 20, 1000, 47, 573.75,1221.5,1460.981727723
50, 40, 4, 8, 20, 1000, 48, 5.25,1284.5,1377.414532314
50, 40, 4, 8, 20, 1000, 49, 127.5,1281.5,1405.306823729
50, 40, 4, 8, 20, 1000, 50, 1.5,1263.75,1361.924121553
