Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
10, 8, 1, 3, 20, 1000, 1, 3271.5,1161.5,49.367928783
10, 8, 1, 3, 20, 1000, 2, 2757.0,1181.75,34.366631509
10, 8, 1, 3, 20, 1000, 3, 2757.0,1205.75,34.251611657
10, 8, 1, 3, 20, 1000, 4, 2775.75,1199.25,34.339363587
10, 8, 1, 3, 20, 1000, 5, 2757.0,1091.0,34.217130861
10, 8, 1, 3, 20, 1000, 6, 2757.0,1211.0,34.090292256
10, 8, 1, 3, 20, 1000, 7, 2757.0,1205.75,33.962068894
10, 8, 1, 3, 20, 1000, 8, 2757.0,1142.75,33.936925903
10, 8, 1, 3, 20, 1000, 9, 2757.0,1205.75,34.026547748
10, 8, 1, 3, 20, 1000, 10, 2775.75,1199.25,34.072137694
10, 8, 1, 3, 20, 1000, 11, 2775.75,1205.25,34.299640285
10, 8, 1, 3, 20, 1000, 12, 2757.0,1205.0,34.14465333
10, 8, 1, 3, 20, 1000, 13, 2757.0,1091.0,31.244465507
10, 8, 1, 3, 20, 1000, 14, 2775.75,1199.25,33.800715196
10, 8, 1, 3, 20, 1000, 15, 2757.0,1091.0,33.891168674
10, 8, 1, 3, 20, 1000, 16, 2757.0,1211.75,33.885532028
10, 8, 1, 3, 20, 1000, 17, 2757.0,1181.75,33.861460703
10, 8, 1, 3, 20, 1000, 18, 2775.75,1204.5,34.029924275
10, 8, 1, 3, 20, 1000, 19, 2775.75,1205.25,34.043372991
10, 8, 1, 3, 20, 1000, 20, 2757.0,1211.75,33.961909139
10, 8, 1, 3, 20, 1000, 21, 2757.0,1205.75,33.897353203
10, 8, 1, 3, 20, 1000, 22, 2757.0,1205.75,33.673335851
10, 8, 1, 3, 20, 1000, 23, 2757.0,1146.5,33.876213831
10, 8, 1, 3, 20, 1000, 24, 2757.0,1205.0,33.794611655
10, 8, 1, 3, 20, 1000, 25, 2757.0,1199.75,33.880251926
10, 8, 1, 3, 20, 1000, 26, 3271.5,1161.5,32.87982891
10, 8, 1, 3, 20, 1000, 27, 2757.0,1205.75,33.703702036
10, 8, 1, 3, 20, 1000, 28, 2757.0,1181.75,33.498114281
10, 8, 1, 3, 20, 1000, 29, 2757.0,1205.75,33.64094115
10, 8, 1, 3, 20, 1000, 30, 2757.0,1091.0,33.611180268
10, 8, 1, 3, 20, 1000, 31, 2775.75,1199.25,33.882353566
10, 8, 1, 3, 20, 1000, 32, 2757.0,1181.75,33.559182262
10, 8, 1, 3, 20, 1000, 33, 2775.75,1090.5,33.458885566
10, 8, 1, 3, 20, 1000, 34, 2757.0,1211.0,33.498783929
10, 8, 1, 3, 20, 1000, 35, 3271.5,1223.75,32.33388745
10, 8, 1, 3, 20, 1000, 36, 2757.0,1205.75,33.545870245
10, 8, 1, 3, 20, 1000, 37, 2775.75,1205.25,33.428317841
10, 8, 1, 3, 20, 1000, 38, 2757.0,1199.75,33.409585244
10, 8, 1, 3, 20, 1000, 39, 2757.0,1211.0,33.297805
10, 8, 1, 3, 20, 1000, 40, 3271.5,1161.5,32.402692512
10, 8, 1, 3, 20, 1000, 41, 2775.75,1199.25,33.322308276
10, 8, 1, 3, 20, 1000, 42, 2757.0,1148.0,33.361612469
10, 8, 1, 3, 20, 1000, 43, 2757.0,1199.75,33.371392964
10, 8, 1, 3, 20, 1000, 44, 2775.75,1090.5,33.530871229
10, 8, 1, 3, 20, 1000, 45, 3271.5,1271.75,31.687952495
10, 8, 1, 3, 20, 1000, 46, 2775.75,1090.5,33.371845788
10, 8, 1, 3, 20, 1000, 47, 2775.75,1090.5,33.419588686
10, 8, 1, 3, 20, 1000, 48, 2775.75,1205.25,33.421721196
10, 8, 1, 3, 20, 1000, 49, 2757.0,1091.0,33.546520411
10, 8, 1, 3, 20, 1000, 50, 2757.0,1211.75,33.447339019
