Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
5, 4, 1, 3, 20, 1000, 1, 2416.5,917.75,44.440667359
5, 4, 1, 3, 20, 1000, 2, 1926.0,948.5,20.785817861
5, 4, 1, 3, 20, 1000, 3, 1926.0,948.5,20.929695901
5, 4, 1, 3, 20, 1000, 4, 1926.0,905.0,21.021045821
5, 4, 1, 3, 20, 1000, 5, 1926.0,870.5,20.947978612
5, 4, 1, 3, 20, 1000, 6, 1926.0,948.5,20.9414422
5, 4, 1, 3, 20, 1000, 7, 1926.0,905.0,21.034444699
5, 4, 1, 3, 20, 1000, 8, 1926.0,870.5,20.955919212
5, 4, 1, 3, 20, 1000, 9, 1926.0,948.5,20.932593843
5, 4, 1, 3, 20, 1000, 10, 1926.0,948.5,20.927237445
5, 4, 1, 3, 20, 1000, 11, 1926.0,870.5,20.94607681
5, 4, 1, 3, 20, 1000, 12, 1926.0,948.5,20.901984667
5, 4, 1, 3, 20, 1000, 13, 1926.0,948.5,20.994196875
5, 4, 1, 3, 20, 1000, 14, 1926.0,905.0,20.921698346
5, 4, 1, 3, 20, 1000, 15, 1926.0,870.5,20.939924523
5, 4, 1, 3, 20, 1000, 16, 1926.0,870.5,20.984559387
5, 4, 1, 3, 20, 1000, 17, 1926.0,948.5,20.988149639
5, 4, 1, 3, 20, 1000, 18, 1926.0,870.5,20.892933756
5, 4, 1, 3, 20, 1000, 19, 2416.5,948.5,20.493929031
5, 4, 1, 3, 20, 1000, 20, 1926.0,870.5,20.918424114
5, 4, 1, 3, 20, 1000, 21, 1926.0,870.5,20.91780475
5, 4, 1, 3, 20, 1000, 22, 1926.0,905.0,20.778572393
5, 4, 1, 3, 20, 1000, 23, 1926.0,948.5,20.730308974
5, 4, 1, 3, 20, 1000, 24, 1926.0,905.0,20.756557318
5, 4, 1, 3, 20, 1000, 25, 1926.0,870.5,20.683432959
5, 4, 1, 3, 20, 1000, 26, 1926.0,905.0,20.699899609
5, 4, 1, 3, 20, 1000, 27, 2416.5,917.75,20.367633474
5, 4, 1, 3, 20, 1000, 28, 1926.0,905.0,20.689571738
5, 4, 1, 3, 20, 1000, 29, 2416.5,986.75,20.285466285
5, 4, 1, 3, 20, 1000, 30, 2416.5,986.75,20.241571614
5, 4, 1, 3, 20, 1000, 31, 1926.0,948.5,20.710432418
5, 4, 1, 3, 20, 1000, 32, 1926.0,948.5,20.733502623
5, 4, 1, 3, 20, 1000, 33, 1926.0,948.5,20.73065093
5, 4, 1, 3, 20, 1000, 34, 1926.0,870.5,20.589538065
5, 4, 1, 3, 20, 1000, 35, 1926.0,870.5,20.703821126
5, 4, 1, 3, 20, 1000, 36, 2416.5,917.75,20.29398253
5, 4, 1, 3, 20, 1000, 37, 1926.0,948.5,20.662936025
5, 4, 1, 3, 20, 1000, 38, 2416.5,917.75,20.276007427
5, 4, 1, 3, 20, 1000, 39, 1926.0,870.5,20.658325043
5, 4, 1, 3, 20, 1000, 40, 1926.0,948.5,20.727301064
5, 4, 1, 3, 20, 1000, 41, 1926.0,870.5,20.675886596
5, 4, 1, 3, 20, 1000, 42, 1926.0,870.5,20.67795173
5, 4, 1, 3, 20, 1000, 43, 2416.5,917.75,20.249166687
5, 4, 1, 3, 20, 1000, 44, 1926.0,870.5,20.668523155
5, 4, 1, 3, 20, 1000, 45, 1926.0,948.5,20.712500849
5, 4, 1, 3, 20, 1000, 46, 1926.0,948.5,20.693114855
5, 4, 1, 3, 20, 1000, 47, 1926.0,870.5,20.600984474
5, 4, 1, 3, 20, 1000, 48, 2416.5,986.75,20.201661931
5, 4, 1, 3, 20, 1000, 49, 1926.0,870.5,20.587388469
5, 4, 1, 3, 20, 1000, 50, 1926.0,870.5,20.590682866
