Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
18, 8, 2, 4, 20, 1000, 1, 2343.0,1141.25,90.776990098
18, 8, 2, 4, 20, 1000, 2, 2343.0,1246.5,73.817515908
18, 8, 2, 4, 20, 1000, 3, 2343.0,1354.25,75.581878731
18, 8, 2, 4, 20, 1000, 4, 2343.0,1118.0,75.595921615
18, 8, 2, 4, 20, 1000, 5, 2343.0,1203.5,73.780369129
18, 8, 2, 4, 20, 1000, 6, 2343.0,1290.0,74.217826358
18, 8, 2, 4, 20, 1000, 7, 2343.0,1239.5,74.10006161
18, 8, 2, 4, 20, 1000, 8, 2343.0,1270.25,73.352678885
18, 8, 2, 4, 20, 1000, 9, 2343.0,1209.5,74.539546546
18, 8, 2, 4, 20, 1000, 10, 2343.0,1221.5,73.595105738
18, 8, 2, 4, 20, 1000, 11, 2343.0,1212.5,73.923854681
18, 8, 2, 4, 20, 1000, 12, 2343.0,1226.75,73.717831091
18, 8, 2, 4, 20, 1000, 13, 2343.0,1235.0,74.270861388
18, 8, 2, 4, 20, 1000, 14, 2343.0,1302.5,73.20588897
18, 8, 2, 4, 20, 1000, 15, 2343.0,1173.5,74.333345452
18, 8, 2, 4, 20, 1000, 16, 2343.0,1165.0,73.11171946
18, 8, 2, 4, 20, 1000, 17, 2343.0,1128.5,73.453659884
18, 8, 2, 4, 20, 1000, 18, 2343.0,1207.0,73.44824906
18, 8, 2, 4, 20, 1000, 19, 2343.0,1299.0,73.068576238
18, 8, 2, 4, 20, 1000, 20, 2343.0,1263.5,73.060280578
18, 8, 2, 4, 20, 1000, 21, 2343.0,1347.5,72.792724656
18, 8, 2, 4, 20, 1000, 22, 2343.0,1319.75,71.686317794
18, 8, 2, 4, 20, 1000, 23, 2343.0,1130.75,72.239418709
18, 8, 2, 4, 20, 1000, 24, 2343.0,1187.0,72.536022897
18, 8, 2, 4, 20, 1000, 25, 2343.0,1150.25,72.143074288
18, 8, 2, 4, 20, 1000, 26, 2343.0,1163.0,71.515845973
18, 8, 2, 4, 20, 1000, 27, 2343.0,1273.75,72.490951084
18, 8, 2, 4, 20, 1000, 28, 2343.0,1322.0,71.498467587
18, 8, 2, 4, 20, 1000, 29, 2343.0,1296.5,71.959403251
18, 8, 2, 4, 20, 1000, 30, 2343.0,1227.5,72.661443933
18, 8, 2, 4, 20, 1000, 31, 2343.0,1346.0,71.915561824
18, 8, 2, 4, 20, 1000, 32, 2343.0,1294.25,71.364862122
18, 8, 2, 4, 20, 1000, 33, 2343.0,1077.5,71.645560139
18, 8, 2, 4, 20, 1000, 34, 2343.0,1281.5,70.917988492
18, 8, 2, 4, 20, 1000, 35, 2343.0,1258.75,71.427356523
18, 8, 2, 4, 20, 1000, 36, 2343.0,1346.0,71.224124954
18, 8, 2, 4, 20, 1000, 37, 2343.0,1175.5,72.0097945
18, 8, 2, 4, 20, 1000, 38, 2343.0,1192.0,72.250100004
18, 8, 2, 4, 20, 1000, 39, 2343.0,1332.5,71.492139068
18, 8, 2, 4, 20, 1000, 40, 2343.0,1355.0,71.149249846
18, 8, 2, 4, 20, 1000, 41, 2343.0,1277.0,71.283919462
18, 8, 2, 4, 20, 1000, 42, 2343.0,1168.25,72.780715006
18, 8, 2, 4, 20, 1000, 43, 2343.0,1091.75,72.300274198
18, 8, 2, 4, 20, 1000, 44, 2343.0,1205.0,72.036935041
18, 8, 2, 4, 20, 1000, 45, 2343.0,1247.0,72.279336051
18, 8, 2, 4, 20, 1000, 46, 2343.0,1214.0,71.191672424
18, 8, 2, 4, 20, 1000, 47, 2343.0,1303.25,71.499419625
18, 8, 2, 4, 20, 1000, 48, 2343.0,1333.25,71.472730606
18, 8, 2, 4, 20, 1000, 49, 2343.0,1302.0,72.301698831
18, 8, 2, 4, 20, 1000, 50, 2343.0,1163.75,72.061816217
