Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
30, 18, 5, 10, 20, 1000, 1, 1547.25,1085.75,460.56359102
30, 18, 5, 10, 20, 1000, 2, 1475.25,1183.75,388.498078181
30, 18, 5, 10, 20, 1000, 3, 1545.0,1193.0,340.789373882
30, 18, 5, 10, 20, 1000, 4, 1464.75,1043.0,395.239591506
30, 18, 5, 10, 20, 1000, 5, 1519.5,1025.75,426.465295849
30, 18, 5, 10, 20, 1000, 6, 1470.75,1075.75,401.12257451
30, 18, 5, 10, 20, 1000, 7, 1471.5,1115.0,404.457376023
30, 18, 5, 10, 20, 1000, 8, 1506.75,994.75,413.374340769
30, 18, 5, 10, 20, 1000, 9, 1464.75,987.5,383.189254404
30, 18, 5, 10, 20, 1000, 10, 1475.25,1169.0,384.798403895
30, 18, 5, 10, 20, 1000, 11, 1473.75,1128.25,420.968323082
30, 18, 5, 10, 20, 1000, 12, 1464.75,1078.75,386.86215644
30, 18, 5, 10, 20, 1000, 13, 1464.75,1058.5,384.854616841
30, 18, 5, 10, 20, 1000, 14, 1491.0,1247.0,414.844491273
30, 18, 5, 10, 20, 1000, 15, 1464.75,1048.0,390.748802655
30, 18, 5, 10, 20, 1000, 16, 1515.75,1057.25,423.917466703
30, 18, 5, 10, 20, 1000, 17, 1538.25,1142.75,424.9758284
30, 18, 5, 10, 20, 1000, 18, 1482.0,1016.0,411.832186406
30, 18, 5, 10, 20, 1000, 19, 1482.75,1087.75,416.933658153
30, 18, 5, 10, 20, 1000, 20, 1575.0,1094.5,405.185149601
30, 18, 5, 10, 20, 1000, 21, 1471.5,1109.75,387.207921541
30, 18, 5, 10, 20, 1000, 22, 1464.75,1046.0,385.712066941
30, 18, 5, 10, 20, 1000, 23, 1464.75,1058.0,404.462459821
30, 18, 5, 10, 20, 1000, 24, 1502.25,1114.0,394.995295722
30, 18, 5, 10, 20, 1000, 25, 1464.0,1085.0,421.839972933
30, 18, 5, 10, 20, 1000, 26, 1515.75,1174.0,424.276781218
30, 18, 5, 10, 20, 1000, 27, 1492.5,1043.0,423.648212468
30, 18, 5, 10, 20, 1000, 28, 1464.75,1101.5,379.661505728
30, 18, 5, 10, 20, 1000, 29, 1495.5,1007.0,381.212441675
30, 18, 5, 10, 20, 1000, 30, 1475.25,1193.5,392.553700862
30, 18, 5, 10, 20, 1000, 31, 1598.25,1052.5,393.752346799
30, 18, 5, 10, 20, 1000, 32, 1502.25,1136.0,387.92713461
30, 18, 5, 10, 20, 1000, 33, 1470.75,1100.0,388.430435863
30, 18, 5, 10, 20, 1000, 34, 1470.75,1043.0,412.355027021
30, 18, 5, 10, 20, 1000, 35, 1470.75,1046.0,413.521628557
30, 18, 5, 10, 20, 1000, 36, 1473.0,1178.5,393.584807437
30, 18, 5, 10, 20, 1000, 37, 1476.0,1043.0,373.904218723
30, 18, 5, 10, 20, 1000, 38, 1470.75,1058.0,403.659330336
30, 18, 5, 10, 20, 1000, 39, 1488.0,1205.0,401.557383891
30, 18, 5, 10, 20, 1000, 40, 1473.0,1058.0,382.060190329
30, 18, 5, 10, 20, 1000, 41, 1464.75,1081.25,379.497076305
30, 18, 5, 10, 20, 1000, 42, 1488.75,1298.0,397.727989478
30, 18, 5, 10, 20, 1000, 43, 1506.75,1109.75,397.042788973
30, 18, 5, 10, 20, 1000, 44, 1470.75,1151.5,387.942383935
30, 18, 5, 10, 20, 1000, 45, 1481.25,1121.75,412.494945605
30, 18, 5, 10, 20, 1000, 46, 1469.25,1268.0,393.86808646
30, 18, 5, 10, 20, 1000, 47, 1467.0,1057.25,400.029507948
30, 18, 5, 10, 20, 1000, 48, 1608.75,1188.25,381.42388973
30, 18, 5, 10, 20, 1000, 49, 1471.5,1092.5,388.352008921
30, 18, 5, 10, 20, 1000, 50, 1464.75,1235.0,386.748799075
