Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
40, 20, 4, 8, 20, 1000, 1, 0.0,1143.5,823.881451309
40, 20, 4, 8, 20, 1000, 2, 0.0,1108.5,780.071346995
40, 20, 4, 8, 20, 1000, 3, 0.0,1133.5,774.310734346
40, 20, 4, 8, 20, 1000, 4, 0.0,1111.25,777.423413534
40, 20, 4, 8, 20, 1000, 5, 0.0,1113.5,750.267329246
40, 20, 4, 8, 20, 1000, 6, 0.0,1149.0,707.166436288
40, 20, 4, 8, 20, 1000, 7, 0.0,1115.0,742.514025615
40, 20, 4, 8, 20, 1000, 8, 0.0,1145.5,715.69447974
40, 20, 4, 8, 20, 1000, 9, 0.0,1118.25,732.095488834
40, 20, 4, 8, 20, 1000, 10, 0.0,1139.0,728.969023175
40, 20, 4, 8, 20, 1000, 11, 0.0,1136.0,739.800953441
40, 20, 4, 8, 20, 1000, 12, 0.0,1144.5,753.774570875
40, 20, 4, 8, 20, 1000, 13, 0.0,1134.5,735.983304748
40, 20, 4, 8, 20, 1000, 14, 0.0,1121.0,735.629216439
40, 20, 4, 8, 20, 1000, 15, 0.0,1128.0,713.337674496
40, 20, 4, 8, 20, 1000, 16, 0.0,1145.0,752.00430065
40, 20, 4, 8, 20, 1000, 17, 0.0,1146.5,744.669410386
40, 20, 4, 8, 20, 1000, 18, 0.0,1089.5,757.376590163
40, 20, 4, 8, 20, 1000, 19, 0.0,1133.0,764.236782823
40, 20, 4, 8, 20, 1000, 20, 0.0,1142.75,747.312489979
40, 20, 4, 8, 20, 1000, 21, 0.0,1085.25,728.066698308
40, 20, 4, 8, 20, 1000, 22, 0.0,1152.0,722.328272068
40, 20, 4, 8, 20, 1000, 23, 0.0,1145.75,726.721350565
40, 20, 4, 8, 20, 1000, 24, 0.0,1151.75,748.57667176
40, 20, 4, 8, 20, 1000, 25, 0.0,1139.0,734.395275055
40, 20, 4, 8, 20, 1000, 26, 0.0,1152.0,730.634327318
40, 20, 4, 8, 20, 1000, 27, 0.0,1132.0,764.542289081
40, 20, 4, 8, 20, 1000, 28, 0.0,1152.5,726.511609835
40, 20, 4, 8, 20, 1000, 29, 0.0,1096.0,745.145778933
40, 20, 4, 8, 20, 1000, 30, 0.0,1138.0,745.675601807
40, 20, 4, 8, 20, 1000, 31, 0.0,1095.0,756.839619859
40, 20, 4, 8, 20, 1000, 32, 0.0,1118.5,715.940317146
40, 20, 4, 8, 20, 1000, 33, 0.0,1110.0,730.794539292
40, 20, 4, 8, 20, 1000, 34, 0.0,1113.0,742.054861659
40, 20, 4, 8, 20, 1000, 35, 0.0,1117.5,734.778192258
40, 20, 4, 8, 20, 1000, 36, 0.0,1112.0,734.695922072
40, 20, 4, 8, 20, 1000, 37, 0.0,1139.0,765.537320809
40, 20, 4, 8, 20, 1000, 38, 0.0,1151.75,738.957212441
40, 20, 4, 8, 20, 1000, 39, 0.0,1107.5,736.321021887
40, 20, 4, 8, 20, 1000, 40, 0.0,1096.5,730.344575602
40, 20, 4, 8, 20, 1000, 41, 0.0,1101.75,745.66170282
40, 20, 4, 8, 20, 1000, 42, 0.0,1126.5,751.238434879
40, 20, 4, 8, 20, 1000, 43, 0.0,1127.75,721.578230626
40, 20, 4, 8, 20, 1000, 44, 0.0,1106.75,737.016838646
40, 20, 4, 8, 20, 1000, 45, 0.0,1128.75,700.767122886
40, 20, 4, 8, 20, 1000, 46, 0.0,1097.5,641.735003731
40, 20, 4, 8, 20, 1000, 47, 0.0,1121.0,691.502358856
40, 20, 4, 8, 20, 1000, 48, 0.0,1152.5,715.572891707
40, 20, 4, 8, 20, 1000, 49, 0.0,1139.0,698.56160506
40, 20, 4, 8, 20, 1000, 50, 0.0,1154.0,702.333322714
