Inbound Trailers, Outbound Trailers, Strip Doors, Stack Doors, population, iterations, iter, Objective, makespan, Sol Time
20, 10, 2, 4, 20, 1000, 1, 5101.5,1327.25,176.60948063
20, 10, 2, 4, 20, 1000, 2, 5296.5,1294.25,147.330951722
20, 10, 2, 4, 20, 1000, 3, 5086.5,1302.5,147.868403318
20, 10, 2, 4, 20, 1000, 4, 5191.5,1073.75,147.597795865
20, 10, 2, 4, 20, 1000, 5, 6270.0,1152.5,139.638534223
20, 10, 2, 4, 20, 1000, 6, 5067.75,1139.25,147.893355196
20, 10, 2, 4, 20, 1000, 7, 5296.5,1197.75,146.990915277
20, 10, 2, 4, 20, 1000, 8, 5760.75,1131.75,144.209683007
20, 10, 2, 4, 20, 1000, 9, 5296.5,1220.25,144.67563568
20, 10, 2, 4, 20, 1000, 10, 5904.75,1157.75,143.695328932
20, 10, 2, 4, 20, 1000, 11, 5067.75,1191.0,145.391376335
20, 10, 2, 4, 20, 1000, 12, 5168.25,1192.25,144.340767881
20, 10, 2, 4, 20, 1000, 13, 5554.5,1124.75,141.17272307
20, 10, 2, 4, 20, 1000, 14, 5376.0,1244.0,143.989031169
20, 10, 2, 4, 20, 1000, 15, 5122.5,1154.0,144.606562228
20, 10, 2, 4, 20, 1000, 16, 6270.0,1160.25,136.756828095
20, 10, 2, 4, 20, 1000, 17, 5891.25,1281.75,140.776041771
20, 10, 2, 4, 20, 1000, 18, 6270.0,1238.75,137.469740304
20, 10, 2, 4, 20, 1000, 19, 5891.25,1300.25,136.899489998
20, 10, 2, 4, 20, 1000, 20, 5337.0,1237.0,143.197772698
20, 10, 2, 4, 20, 1000, 21, 5296.5,1220.25,146.215291065
20, 10, 2, 4, 20, 1000, 22, 5296.5,1142.25,146.53996798
20, 10, 2, 4, 20, 1000, 23, 5470.5,1141.0,144.33740857
20, 10, 2, 4, 20, 1000, 24, 4744.5,1076.25,145.772143844
20, 10, 2, 4, 20, 1000, 25, 5082.0,1181.75,146.165066738
20, 10, 2, 4, 20, 1000, 26, 5433.0,1199.0,142.56146915
20, 10, 2, 4, 20, 1000, 27, 5367.0,1172.75,143.000962271
20, 10, 2, 4, 20, 1000, 28, 5071.5,1109.25,145.299323317
20, 10, 2, 4, 20, 1000, 29, 5079.0,1218.0,145.271940599
20, 10, 2, 4, 20, 1000, 30, 5356.5,1198.5,143.438826341
20, 10, 2, 4, 20, 1000, 31, 4455.75,1159.5,145.651762634
20, 10, 2, 4, 20, 1000, 32, 5324.25,1250.25,136.190127381
20, 10, 2, 4, 20, 1000, 33, 5082.75,1162.25,145.224801041
20, 10, 2, 4, 20, 1000, 34, 5488.5,1260.75,147.104881414
20, 10, 2, 4, 20, 1000, 35, 5391.0,1146.75,142.827883542
20, 10, 2, 4, 20, 1000, 36, 6270.0,1230.25,136.555626174
20, 10, 2, 4, 20, 1000, 37, 4447.5,1267.0,141.540227511
20, 10, 2, 4, 20, 1000, 38, 5179.5,1115.0,144.486314903
20, 10, 2, 4, 20, 1000, 39, 5688.75,1320.75,144.043933296
20, 10, 2, 4, 20, 1000, 40, 5814.75,1160.25,143.959681203
20, 10, 2, 4, 20, 1000, 41, 5131.5,1180.25,144.259298568
20, 10, 2, 4, 20, 1000, 42, 5079.0,1178.0,146.209581232
20, 10, 2, 4, 20, 1000, 43, 6270.0,1238.75,136.934938877
20, 10, 2, 4, 20, 1000, 44, 5296.5,1245.75,145.06466022
20, 10, 2, 4, 20, 1000, 45, 5067.75,1095.0,144.213761711
20, 10, 2, 4, 20, 1000, 46, 5600.25,1177.25,144.309112998
20, 10, 2, 4, 20, 1000, 47, 6270.0,1154.75,137.814473557
20, 10, 2, 4, 20, 1000, 48, 6270.0,1167.75,136.850713857
20, 10, 2, 4, 20, 1000, 49, 6270.0,1301.25,137.067568033
